,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_entireUnits,triadLabel,triadCoef,filename,abs_y_list
0,204.0 to 204.0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",2,e-Major,0.5222329678670937,op1no1trio.csv,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,206.0 to 206.0,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",18,b-Major,0.7745966692414831,op1no1trio.csv,"[0.0, 0.7320508075688773, 2.0, 3.1622776601683795, 3.4641016151377544, 2.7320508075688767, 2.0, 2.7320508075688767, 3.4641016151377544, 3.1622776601683795, 2.0, 0.7320508075688773]"
2,207.0 to 207.0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",18,e-Major,0.7745966692414831,op1no1trio.csv,"[0.0, 0.9999999999999998, 0.9999999999999999, 3.1622776601683795, 3.0, 1.0, 2.0, 1.0, 3.0, 3.1622776601683795, 0.9999999999999999, 0.9999999999999998]"
3,209.0 to 209.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",3,e-Major,0.7745966692414831,op1no1trio.csv,"[0.0, 1.9318516525781366, 1.0, 1.4142135623730951, 1.7320508075688772, 0.5176380902050414, 2.0, 0.5176380902050414, 1.7320508075688772, 1.4142135623730951, 1.0, 1.9318516525781366]"
4,210.0 to 210.0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",3,e-Major,0.7745966692414831,op1no1trio.csv,"[0.0, 1.9318516525781366, 1.0, 1.4142135623730951, 1.7320508075688772, 0.5176380902050414, 2.0, 0.5176380902050414, 1.7320508075688772, 1.4142135623730951, 1.0, 1.9318516525781366]"
5,211.0 to 211.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",3,e-Major,0.7745966692414831,op1no1trio.csv,"[0.0, 1.414213562373095, 1.9999999999999998, 1.4142135623730951, 1.1102230246251565e-16, 1.4142135623730951, 2.0, 1.4142135623730951, 1.1102230246251565e-16, 1.4142135623730951, 1.9999999999999998, 1.414213562373095]"
6,212.0 to 212.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",8,e-Major,0.7745966692414831,op1no1trio.csv,"[0.0, 1.7320508075688772, 1.7320508075688772, 0.0, 1.7320508075688772, 1.7320508075688772, 0.0, 1.7320508075688772, 1.7320508075688772, 0.0, 1.7320508075688772, 1.7320508075688772]"
7,213.0 to 213.25,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",18,b-Major,1.0,op1no1trio.csv,"[1.0, 1.9318516525781364, 1.0, 2.23606797749979, 2.6457513110645907, 0.5176380902050415, 1.0, 0.5176380902050415, 2.6457513110645907, 2.23606797749979, 1.0, 1.9318516525781364]"
8,215.0 to 215.0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",18,e-Major,0.7745966692414831,op1no1trio.csv,"[1.0, 0.9999999999999999, 1.7320508075688772, 3.605551275463989, 2.6457513110645903, 0.9999999999999999, 3.0, 0.9999999999999999, 2.6457513110645903, 3.605551275463989, 1.7320508075688772, 0.9999999999999999]"
9,216.0 to 216.0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",18,c#Major,0.7745966692414831,op1no1trio.csv,"[0.0, 1.0, 0.9999999999999999, 3.1622776601683795, 3.0, 0.9999999999999998, 2.0, 0.9999999999999998, 3.0, 3.1622776601683795, 0.9999999999999999, 1.0]"
10,218.0 to 218.0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",2,c#Major,0.7745966692414831,op1no1trio.csv,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,219.0 to 219.0,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",19,b-Major,0.7745966692414831,op1no1trio.csv,"[0.0, 1.9999999999999998, 0.0, 2.0, 0.0, 1.9999999999999998, 0.0, 1.9999999999999998, 0.0, 2.0, 0.0, 1.9999999999999998]"
12,220.0 to 220.0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",3,fMinor,0.2581988897471611,op1no1trio.csv,"[0.0, 1.414213562373095, 1.9999999999999998, 1.4142135623730951, 1.1102230246251565e-16, 1.4142135623730951, 2.0, 1.4142135623730951, 1.1102230246251565e-16, 1.4142135623730951, 1.9999999999999998, 1.414213562373095]"
13,221.0 to 221.0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",3,c#Major,0.7745966692414831,op1no1trio.csv,"[0.0, 1.4142135623730951, 1.9999999999999998, 1.4142135623730951, 1.1102230246251565e-16, 1.414213562373095, 2.0, 1.414213562373095, 1.1102230246251565e-16, 1.4142135623730951, 1.9999999999999998, 1.4142135623730951]"
14,222.0 to 222.25,"[0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]",18,e-Major,0.727606875108999,op1no1trio.csv,"[1.0, 1.9318516525781366, 1.7320508075688772, 4.123105625617661, 3.605551275463989, 0.5176380902050415, 3.0, 0.5176380902050415, 3.605551275463989, 4.123105625617661, 1.7320508075688772, 1.9318516525781366]"
15,224.0 to 224.0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",18,c#Major,0.7745966692414831,op1no1trio.csv,"[1.0, 1.9318516525781366, 1.7320508075688772, 4.123105625617661, 3.605551275463989, 0.5176380902050415, 3.0, 0.5176380902050415, 3.605551275463989, 4.123105625617661, 1.7320508075688772, 1.9318516525781366]"
16,225.0 to 225.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",18,e-Major,0.7745966692414831,op1no1trio.csv,"[0.0, 1.414213562373095, 2.220446049250313e-16, 2.8284271247461903, 3.4641016151377544, 1.414213562373095, 0.0, 1.414213562373095, 3.4641016151377544, 2.8284271247461903, 2.220446049250313e-16, 1.414213562373095]"
17,227.0 to 227.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",19,f#Major,0.7745966692414831,op1no1trio.csv,"[0.0, 1.9999999999999998, 0.0, 2.0, 0.0, 1.9999999999999998, 0.0, 1.9999999999999998, 0.0, 2.0, 0.0, 1.9999999999999998]"
