offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
0.0 to 0.625,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
1.0 to 1.625,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
2.0 to 2.625,"[7, 10]","['B-2', 'B-3', 'B-5', 'G4']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0]"
3.0 to 3.625,"[5, 7, 9, 10]","['A5', 'B-2', 'B-3', 'B-5', 'F4', 'G4']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 3, 0]"
4.0 to 4.625,"[3, 5, 7, 9, 10]","['A5', 'B-2', 'B-3', 'E-4', 'F4', 'G5']","[0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 2, 0]"
5.0 to 5.625,"[2, 3, 5, 7, 10]","['B-2', 'B-3', 'D4', 'E-4', 'F5', 'G5']","[0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 2, 0]"
6.0 to 6.625,"[2, 5, 10]","['B-2', 'B-3', 'D4', 'F5']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
7.0 to 7.625,"[2, 5, 10]","['B-2', 'B-3', 'D4', 'F5']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
8.0 to 8.625,"[2, 6, 10]","['B-2', 'B-3', 'D4', 'F#5']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0]"
9.0 to 9.625,"[3, 7, 10]","['B-2', 'B-3', 'E-4', 'G5']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0]"
10.0 to 10.0,"[3, 10]","['B-2', 'B-3', 'E-4']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
11.0 to 11.66666667,"[3, 7, 10]","['B-2', 'B-3', 'B-5', 'E-5', 'G4', 'G5']","[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 3, 0]"
12.0 to 12.625,"[2, 5, 10]","['B-2', 'B-3', 'D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
13.0 to 13.625,"[5, 10]","['B-2', 'B-3', 'F4']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
14.0 to 14.66666667,"[0, 3, 7, 9, 10]","['A4', 'B-2', 'B-3', 'C4', 'C5', 'E-4', 'E-5', 'G4']","[2, 0, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0]"
15.0 to 15.0,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
17.0 to 17.66666667,"[2, 7, 10]","['B-4', 'D5', 'G4']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
18.0 to 18.625,"[2, 5]","['D4', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
19.0 to 19.625,"[2, 5]","['D4', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
20.0 to 20.875,"[0, 2, 3, 5]","['C4', 'D4', 'E-4', 'F3', 'F4']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
21.0 to 21.0,"[2, 10]","['B-2', 'B-3', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
22.0 to 22.0,[10],['B-4'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
23.0 to 23.66666667,"[2, 7, 10]","['B-4', 'D5', 'G4']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
24.0 to 24.625,"[2, 5]","['D4', 'F2', 'F3', 'F4']","[0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
25.0 to 25.625,"[2, 5]","['D4', 'F2', 'F3', 'F4']","[0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
26.0 to 26.875,"[0, 2, 3, 5]","['C4', 'D4', 'E-4', 'F2', 'F3', 'F4']","[1, 0, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0]"
27.0 to 27.0,"[2, 10]","['B-2', 'B-3', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
30.0 to 30.625,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
31.0 to 31.625,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
32.0 to 32.625,"[7, 10]","['B-2', 'B-3', 'B-5', 'G4']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0]"
33.0 to 33.625,"[5, 7, 9, 10]","['A5', 'B-2', 'B-3', 'B-5', 'F4', 'G4']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 3, 0]"
34.0 to 34.625,"[3, 5, 7, 9, 10]","['A5', 'B-2', 'B-3', 'E-4', 'F4', 'G5']","[0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 2, 0]"
35.0 to 35.625,"[2, 3, 5, 7, 10]","['B-2', 'B-3', 'D4', 'E-4', 'F5', 'G5']","[0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 2, 0]"
36.0 to 36.625,"[2, 5, 10]","['B-2', 'B-3', 'D4', 'F5']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
37.0 to 37.625,"[2, 5, 10]","['B-2', 'B-3', 'D4', 'F5']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
38.0 to 38.625,"[2, 6, 10]","['B-2', 'B-3', 'D4', 'F#5']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0]"
39.0 to 39.625,"[3, 7, 10]","['B-2', 'B-3', 'E-4', 'G5']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0]"
40.0 to 40.0,"[3, 10]","['B-2', 'B-3', 'E-4']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
41.0 to 41.66666667,"[3, 7, 10]","['B-2', 'B-3', 'B-5', 'E-5', 'G4', 'G5']","[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 3, 0]"
42.0 to 42.625,"[2, 5, 10]","['B-2', 'B-3', 'D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
43.0 to 43.625,"[5, 10]","['B-2', 'B-3', 'F4']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
44.0 to 44.66666667,"[0, 3, 7, 9, 10]","['A4', 'B-2', 'B-3', 'C4', 'C5', 'E-4', 'E-5', 'G4']","[2, 0, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0]"
45.0 to 45.0,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
47.0 to 47.66666667,"[2, 7, 10]","['B-4', 'D5', 'G4']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
48.0 to 48.625,"[2, 5]","['D4', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
49.0 to 49.625,"[2, 5]","['D4', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
50.0 to 50.875,"[0, 2, 3, 5]","['C4', 'D4', 'E-4', 'F3', 'F4']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
51.0 to 51.0,"[2, 10]","['B-2', 'B-3', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
52.0 to 52.0,[10],['B-4'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
53.0 to 53.66666667,"[2, 7, 10]","['B-4', 'D5', 'G4']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
54.0 to 54.625,"[2, 5]","['D4', 'F2', 'F3', 'F4']","[0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
55.0 to 55.625,"[2, 5]","['D4', 'F2', 'F3', 'F4']","[0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
56.0 to 56.875,"[0, 2, 3, 5]","['C4', 'D4', 'E-4', 'F2', 'F3', 'F4']","[1, 0, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0]"
57.0 to 57.0,"[2, 10]","['B-2', 'B-3', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
60.0 to 60.625,"[0, 5, 9]","['A4', 'C5', 'F3', 'F4']","[1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
61.0 to 61.625,"[0, 5, 9]","['A4', 'C5', 'F3', 'F4']","[1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
62.0 to 62.625,"[5, 9]","['A4', 'F3', 'F4', 'F5']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0]"
63.0 to 63.875,"[4, 5, 7, 10]","['B-4', 'E5', 'F5', 'G3', 'G4']","[0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 0]"
64.0 to 64.5,"[5, 7]","['F5', 'G5']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
65.0 to 65.5,"[7, 9]","['A5', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
66.0 to 66.625,"[0, 4, 7]","['C4', 'C5', 'E3', 'E4', 'G4']","[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]"
67.0 to 67.625,"[0, 4, 7]","['C4', 'C5', 'E3', 'E4', 'G4']","[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]"
68.0 to 68.625,"[0, 4, 7, 10]","['B-5', 'C4', 'E3', 'E4', 'G4']","[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0]"
69.0 to 69.875,"[0, 5, 9, 10]","['A5', 'B-5', 'C4', 'F3', 'F4']","[1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0]"
70.0 to 70.5,"[0, 10]","['B-5', 'C6']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
71.0 to 71.5,"[0, 2]","['C6', 'D6']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72.0 to 72.875,"[0, 5]","['C6', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
73.0 to 73.75,"[0, 9]","['A4', 'C6']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
74.0 to 74.0,[5],"['F4', 'F6']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
75.0 to 75.875,"[0, 4, 5]","['C5', 'E6', 'F6']","[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
76.0 to 76.875,"[2, 4, 10]","['B-4', 'D6', 'E6']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
77.0 to 77.875,"[0, 2, 9]","['A4', 'C6', 'D6']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
78.0 to 78.875,"[0, 2, 10]","['B-4', 'B-5', 'C6', 'D6']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
79.0 to 79.0,"[0, 9]","['A5', 'C5']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
80.0 to 80.875,"[0, 5, 7, 9]","['A5', 'C4', 'F5', 'G5']","[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
81.0 to 81.875,[5],"['F4', 'F5']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
82.0 to 82.75,[5],"['F3', 'F4', 'F5']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
83.0 to 83.0,[3],"['E-3', 'E-4']","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
84.0 to 84.25,"[2, 5]","['D3', 'D4', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
85.0 to 85.0,[5],['F5'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
86.0 to 86.0,[5],['F5'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
87.0 to 87.5,"[3, 6, 7]","['E-4', 'E-5', 'F#5', 'G5']","[0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0]"
88.0 to 88.5,"[3, 5]","['E-4', 'E-5', 'F5']","[0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0]"
89.0 to 89.5,"[0, 2, 3]","['C5', 'D5', 'E-4', 'E-5']","[1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
90.0 to 90.5,"[0, 3, 10]","['B-3', 'B-4', 'C4', 'C5', 'E-5']","[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
91.0 to 91.5,"[3, 7, 9]","['A3', 'A4', 'E-5', 'G3', 'G4']","[0, 0, 0, 1, 0, 0, 0, 2, 0, 2, 0, 0]"
92.0 to 92.5,"[3, 5]","['E-3', 'E-4', 'E-5', 'F3', 'F4']","[0, 0, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0]"
93.0 to 93.875,"[2, 4, 5]","['D3', 'D4', 'E5', 'F5']","[0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
94.0 to 94.5,"[2, 3]","['D5', 'E-5']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
95.0 to 95.5,"[0, 10]","['B-4', 'C5']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
96.0 to 96.875,"[0, 9]","['A4', 'C5']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
97.0 to 97.0,"[0, 3, 5]","['C5', 'E-5', 'F3', 'F4']","[1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
98.0 to 98.0,"[2, 5, 10]","['B-4', 'D5', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]"
99.0 to 99.0,"[2, 5, 10]","['B-4', 'D5', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]"
100.0 to 100.625,"[0, 3, 5, 9]","['A4', 'C5', 'E-3', 'E-4', 'F3', 'F4']","[1, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 0]"
101.0 to 101.5,"[0, 2]","['C3', 'C4', 'D3', 'D4']","[2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
102.0 to 102.625,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
103.0 to 103.625,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
104.0 to 104.625,"[7, 10]","['B-2', 'B-3', 'B-5', 'G4']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0]"
105.0 to 105.625,"[5, 7, 9, 10]","['A5', 'B-2', 'B-3', 'B-5', 'F4', 'G4']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 3, 0]"
106.0 to 106.625,"[3, 5, 7, 9, 10]","['A5', 'B-2', 'B-3', 'E-4', 'F4', 'G5']","[0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 2, 0]"
107.0 to 107.625,"[2, 3, 5, 7, 10]","['B-2', 'B-3', 'D4', 'E-4', 'F5', 'G5']","[0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 2, 0]"
108.0 to 108.625,"[2, 5, 10]","['B-2', 'B-3', 'D4', 'F5']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
109.0 to 109.625,"[2, 5, 10]","['B-2', 'B-3', 'D4', 'F5']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
110.0 to 110.625,"[2, 6, 10]","['B-2', 'B-3', 'D4', 'F#5']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0]"
111.0 to 111.625,"[3, 7, 10]","['B-2', 'B-3', 'E-4', 'G5']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0]"
112.0 to 112.0,"[3, 10]","['B-2', 'B-3', 'E-4']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
113.0 to 113.66666670000001,"[3, 7, 10]","['B-2', 'B-3', 'B-5', 'E-5', 'G4', 'G5']","[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 3, 0]"
114.0 to 114.625,"[2, 5, 10]","['B-2', 'B-3', 'D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
115.0 to 115.0,"[5, 10]","['B-2', 'B-3', 'F4']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
