offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
157.0 to 157.0,"[2, 5, 10]","['B-2', 'B-3', 'D4', 'F5']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
158.0 to 158.875,"[2, 3, 10]","['B-2', 'B-3', 'D4', 'D5', 'E-5']","[0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
159.0 to 159.875,"[0, 2, 10]","['B-2', 'B-3', 'B-4', 'C5', 'D4']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
160.0 to 160.0,"[3, 7, 10]","['B-2', 'B-3', 'E-4', 'G5']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0]"
161.0 to 161.875,"[3, 5, 10]","['B-2', 'B-3', 'E-4', 'E-5', 'F5']","[0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0]"
162.0 to 162.875,"[0, 2, 3, 10]","['B-2', 'B-3', 'C5', 'D5', 'E-4']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
163.0 to 163.0,"[0, 3, 10]","['B-2', 'B-3', 'C4', 'E-5']","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
164.0 to 164.875,"[0, 2, 3, 10]","['B-2', 'B-3', 'C5', 'D5', 'E-4']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
165.0 to 165.875,"[3, 9, 10]","['A4', 'B-2', 'B-3', 'B-4', 'E-4']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 3, 0]"
166.0 to 166.0,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
167.0 to 167.0,[5],['F4'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
169.0 to 169.0,"[0, 5, 9]","['A2', 'A3', 'C5', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
170.0 to 170.875,"[0, 5, 9]","['A2', 'A3', 'C5', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
171.0 to 171.0,"[1, 5, 9]","['A2', 'A3', 'C#5', 'F4']","[0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
172.0 to 172.875,"[2, 5, 10]","['B-2', 'B-3', 'D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
173.0 to 173.75,"[2, 5, 10]","['B-2', 'B-3', 'D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
174.0 to 174.875,"[2, 5, 10]","['B-2', 'B-3', 'B-4', 'D5', 'F4', 'F5']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 3, 0]"
175.0 to 175.0,"[0, 5, 9]","['A4', 'C3', 'C4', 'F4']","[2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
176.0 to 176.0,"[0, 5]","['C3', 'C4', 'F4']","[2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
177.0 to 177.875,"[0, 4, 5, 7, 9]","['A4', 'C3', 'C4', 'E4', 'F4', 'G4']","[2, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
178.0 to 178.875,[5],"['F3', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
179.0 to 179.75,"[0, 5]","['C3', 'C4', 'F4']","[2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
180.0 to 180.0,[5],"['F2', 'F3']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
181.0 to 181.0,"[2, 5, 10]","['B-2', 'B-3', 'D4', 'F5']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
182.0 to 182.875,"[2, 3, 10]","['B-2', 'B-3', 'D4', 'D5', 'E-5']","[0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
183.0 to 183.875,"[0, 2, 10]","['B-2', 'B-3', 'B-4', 'C5', 'D4']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
184.0 to 184.0,"[3, 7, 10]","['B-2', 'B-3', 'E-4', 'G5']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0]"
185.0 to 185.875,"[3, 5, 10]","['B-2', 'B-3', 'E-4', 'E-5', 'F5']","[0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0]"
186.0 to 186.875,"[0, 2, 3, 10]","['B-2', 'B-3', 'C5', 'D5', 'E-4']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
187.0 to 187.0,"[0, 3, 10]","['B-2', 'B-3', 'C4', 'E-5']","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
188.0 to 188.875,"[0, 2, 3, 10]","['B-2', 'B-3', 'C5', 'D5', 'E-4']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
189.0 to 189.875,"[3, 9, 10]","['A4', 'B-2', 'B-3', 'B-4', 'E-4']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 3, 0]"
190.0 to 190.0,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
191.0 to 191.0,[5],['F4'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
