offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
168.0 to 168.5,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
169.0 to 169.75,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
170.0 to 170.875,"[2, 10]","['B-4', 'B-5', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
171.0 to 171.5,"[3, 7, 9, 10]","['A5', 'B-4', 'E-4', 'E-5', 'G5']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0]"
172.0 to 172.5,"[2, 5, 10]","['B-4', 'D4', 'D5', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
173.0 to 173.875,"[0, 3, 10]","['B-4', 'C4', 'C5', 'E-5']","[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
174.0 to 174.875,"[3, 10]","['B-3', 'B-4', 'E-5']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
175.0 to 175.5,"[2, 3, 10]","['B-2', 'B-3', 'B-4', 'D5', 'E-5']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0]"
176.0 to 176.875,"[0, 2, 3, 5, 10]","['B-4', 'C3', 'C4', 'D5', 'E-5', 'F5']","[2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
177.0 to 177.875,"[2, 5, 10]","['B-4', 'D3', 'D4', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
178.0 to 178.5,"[9, 10]","['A5', 'B-4', 'B-5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
179.0 to 179.5,"[9, 10]","['A5', 'B-4', 'B-5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
180.0 to 180.5,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
181.0 to 181.75,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
182.0 to 182.875,"[2, 10]","['B-4', 'B-5', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
183.0 to 183.5,"[3, 7, 9, 10]","['A5', 'B-4', 'E-4', 'E-5', 'G5']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0]"
184.0 to 184.5,"[2, 5, 10]","['B-4', 'D4', 'D5', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
185.0 to 185.875,"[0, 3, 10]","['B-4', 'C4', 'C5', 'E-5']","[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
186.0 to 186.875,"[3, 10]","['B-3', 'B-4', 'E-5']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
187.0 to 187.5,"[2, 3, 10]","['B-2', 'B-3', 'B-4', 'D5', 'E-5']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0]"
188.0 to 188.875,"[0, 2, 3, 5, 10]","['B-4', 'C3', 'C4', 'D5', 'E-5', 'F5']","[2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
189.0 to 189.875,"[2, 5, 10]","['B-4', 'D3', 'D4', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
190.0 to 190.5,[10],['B-4'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
191.0 to 191.875,"[2, 10]","['B-4', 'B-5', 'D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
192.0 to 192.875,"[3, 6, 7, 10]","['B-4', 'E-3', 'E-4', 'F#5', 'G5']","[0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 1, 0]"
193.0 to 193.5,"[7, 10]","['B-4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
194.0 to 194.875,"[3, 7, 9, 10]","['A5', 'B-4', 'E-4', 'E-5', 'G5']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0]"
195.0 to 195.875,"[2, 5, 10]","['B-4', 'B-5', 'D4', 'D5', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
196.0 to 196.5,"[2, 9, 10]","['A5', 'B-4', 'D6']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
197.0 to 197.875,"[2, 5, 10]","['B-4', 'B-5', 'D3', 'D4', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
198.0 to 198.875,"[3, 5, 10]","['B-4', 'E-3', 'E-4', 'E-5', 'F5']","[0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0]"
199.0 to 199.875,"[2, 5, 10]","['B-4', 'D5', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]"
