offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
156.0 to 156.875,"[0, 3, 7]","['C4', 'C5', 'E-4', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
157.0 to 157.75,"[0, 3, 7]","['C4', 'C5', 'E-4', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
158.0 to 158.875,"[0, 3, 7, 8]","['C4', 'C5', 'E-4', 'G#5', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
159.0 to 159.875,"[0, 2, 6, 7]","['C4', 'C5', 'D4', 'F#5', 'G5']","[2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
160.0 to 160.875,"[0, 2, 6]","['C4', 'C5', 'D4', 'F#5']","[2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
161.0 to 161.75,"[0, 2, 6]","['C4', 'C5', 'D4', 'F#5']","[2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
162.0 to 162.0,"[2, 5, 11]","['B3', 'B4', 'D4', 'F5']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2]"
163.0 to 163.875,"[2, 11]","['B3', 'B4', 'B5', 'D4', 'D6']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
164.0 to 164.875,"[2, 5, 7, 11]","['B3', 'B4', 'D4', 'F5', 'G5']","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2]"
165.0 to 165.875,"[0, 3, 5]","['C4', 'C5', 'E-5', 'F5']","[2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
166.0 to 166.0,"[0, 3]","['C3', 'C4', 'E-5']","[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
168.0 to 168.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
169.0 to 169.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
170.0 to 170.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
171.0 to 171.0,"[2, 5, 8, 11]","['B4', 'D4', 'F3', 'G#5']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
172.5 to 172.5,"[2, 5, 11]","['B4', 'D4', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
173.0 to 173.0,"[0, 3, 7]","['C5', 'E-3', 'E-4', 'G4']","[1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]"
174.0 to 174.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
175.0 to 175.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
176.0 to 176.0,"[2, 5]","['D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
177.0 to 177.0,"[2, 5, 8, 11]","['B4', 'D4', 'F3', 'G#5']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
178.5 to 178.5,"[2, 5, 11]","['B4', 'D4', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
179.0 to 179.0,"[0, 3, 7]","['C5', 'E-3', 'E-4', 'G4']","[1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]"
180.0 to 180.75,"[2, 3]","['D5', 'E-5']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
181.0 to 181.0,"[0, 3, 7]","['C5', 'E-4', 'G3', 'G4']","[1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0]"
