offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
168.0 to 168.875,"[2, 9]","['A4', 'D3', 'D4', 'D5']","[0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
169.0 to 169.625,"[2, 5, 7]","['D4', 'D5', 'F4', 'G4']","[0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
170.0 to 170.625,"[2, 4]","['D4', 'D5', 'E4']","[0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
171.0 to 171.875,"[1, 4, 10]","['B-3', 'C#4', 'E4', 'E5']","[0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0]"
172.0 to 172.625,"[4, 7, 9]","['A3', 'E4', 'E5', 'G3']","[0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0]"
173.0 to 173.625,"[4, 5]","['E3', 'E4', 'E5', 'F3']","[0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0]"
174.0 to 174.875,"[2, 5, 9]","['A4', 'D3', 'F4', 'F5']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
175.0 to 175.625,"[5, 7]","['F4', 'F5', 'G4']","[0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0]"
176.0 to 176.625,"[2, 4, 5]","['D4', 'E4', 'F4', 'F5']","[0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0]"
177.0 to 177.875,"[7, 10]","['B-4', 'G3', 'G4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0]"
178.0 to 178.625,"[4, 5, 7]","['E3', 'F3', 'G4', 'G5']","[0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0]"
179.0 to 179.625,"[0, 2, 7]","['C3', 'D3', 'G4', 'G5']","[1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
180.0 to 180.875,"[0, 5, 9]","['A4', 'A5', 'C5', 'F3']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
181.0 to 181.625,"[9, 10]","['A4', 'A5', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0]"
182.0 to 182.625,"[5, 7, 9]","['A4', 'A5', 'F4', 'G4']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0]"
183.0 to 183.875,"[2, 10]","['B-3', 'B-4', 'B-5', 'D5']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
184.0 to 184.625,"[7, 9, 10]","['A3', 'B-4', 'B-5', 'G3']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0]"
185.0 to 185.875,"[4, 5, 7, 10]","['B-4', 'B-5', 'E3', 'F3', 'G5']","[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 2, 0]"
186.0 to 186.625,"[5, 9]","['A3', 'A4', 'A5', 'F3', 'F5']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0]"
187.0 to 187.625,"[0, 5, 9, 10]","['A3', 'A4', 'B-3', 'C4', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0]"
188.0 to 188.875,"[0, 2, 4, 5, 7, 9]","['A4', 'C3', 'C4', 'D4', 'E4', 'F4', 'G3', 'G4']","[2, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0]"
189.0 to 189.625,"[5, 7]","['F3', 'F4', 'G3']","[0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0]"
190.0 to 190.625,"[5, 7, 9]","['A3', 'F3', 'F4', 'G3']","[0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0]"
191.0 to 191.5,"[4, 5]","['E3', 'F3']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
192.0 to 192.875,"[2, 9]","['A4', 'D3', 'D4', 'D5']","[0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
193.0 to 193.625,"[2, 5, 7]","['D4', 'D5', 'F4', 'G4']","[0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
