offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
156.0 to 156.0,[7],"['G2', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
157.0 to 157.875,"[0, 2, 10]","['B-2', 'B-3', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
158.0 to 158.875,"[2, 9, 10]","['A4', 'B-4', 'D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
159.0 to 159.875,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
160.0 to 160.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
161.0 to 161.875,"[2, 6, 7, 9, 10]","['A4', 'B-4', 'D4', 'D5', 'F#4', 'G4']","[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]"
162.0 to 162.875,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
163.0 to 163.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
164.0 to 164.875,"[2, 6, 7, 9, 10]","['A4', 'B-4', 'D3', 'D4', 'F#4', 'G4']","[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]"
165.0 to 165.875,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
166.0 to 166.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
167.0 to 167.875,"[2, 6, 7, 9, 10]","['A4', 'B-4', 'D4', 'D5', 'F#4', 'G4']","[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]"
168.0 to 168.875,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
169.0 to 169.875,"[9, 10]","['A4', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
170.0 to 170.875,"[2, 6, 7]","['D4', 'D5', 'F#4', 'G4']","[0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
171.0 to 171.0,"[7, 10]","['B-3', 'B-4', 'G4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]"
172.0 to 172.0,"[2, 10]","['B-4', 'D5']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
173.0 to 173.0,"[0, 2, 6]","['C5', 'D5', 'F#3', 'F#4']","[1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
174.0 to 174.875,"[0, 7, 10]","['B-4', 'C5', 'G3', 'G4', 'G5']","[1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0]"
175.0 to 175.79166669999998,"[2, 10]","['B-4', 'D5']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
176.0 to 176.0,"[0, 6, 9]","['A4', 'C5', 'F#3', 'F#4']","[1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0]"
177.0 to 177.0,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
178.0 to 178.0,"[3, 7, 10]","['B-4', 'E-5', 'G3', 'G4']","[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0]"
179.0 to 179.0,"[2, 5, 9]","['A4', 'D5', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
180.0 to 180.0,"[0, 3, 7]","['C5', 'E-3', 'E-4', 'G4']","[1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]"
181.5 to 181.5,"[3, 7, 9]","['A4', 'E-3', 'E-4', 'G4']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0]"
182.0 to 182.0,"[2, 5, 10]","['B-4', 'D3', 'D4', 'F4']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
183.0 to 183.0,"[0, 3, 7]","['C5', 'E-3', 'E-4', 'G4']","[1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]"
184.5 to 184.5,"[3, 7, 9]","['A4', 'E-3', 'E-4', 'G4']","[0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0]"
185.0 to 185.0,"[2, 5, 10]","['B-4', 'D3', 'D4', 'F4']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
186.0 to 186.875,"[0, 2, 3, 5, 7]","['C5', 'D5', 'E-3', 'E-4', 'E-5', 'F5', 'G5']","[1, 0, 1, 3, 0, 1, 0, 1, 0, 0, 0, 0]"
187.0 to 187.0,"[2, 5, 10]","['B-4', 'D5', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]"
