offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
0.0 to 0.0,"[0, 4]","['C4', 'C5', 'E4']","[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
2.0 to 2.875,"[2, 4, 5, 7]","['D5', 'E5', 'F5', 'G3', 'G4']","[0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0]"
3.0 to 3.875,"[0, 4, 5]","['C3', 'C4', 'E5', 'F5']","[2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
4.0 to 4.5,"[7, 9]","['A5', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
5.0 to 5.0,[7],['G5'],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
6.0 to 6.0,[0],"['C5', 'C6']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7.0 to 7.875,"[0, 4, 11]","['B5', 'C5', 'C6', 'E3', 'E4']","[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1]"
8.0 to 8.875,"[0, 7, 9]","['A5', 'C3', 'C4', 'C5', 'G5']","[3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
9.0 to 9.875,"[0, 2, 5, 7]","['C5', 'D3', 'D4', 'F5', 'G5']","[1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
10.0 to 10.875,"[4, 5, 7, 11]","['B4', 'E5', 'F5', 'G2', 'G3', 'G5']","[0, 0, 0, 0, 1, 1, 0, 3, 0, 0, 0, 1]"
11.0 to 11.0,"[0, 4]","['C3', 'C4', 'C5', 'E5']","[3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
12.0 to 12.0,[0],"['C3', 'C4']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14.0 to 14.875,"[0, 2, 4, 5, 7, 11]","['B3', 'C4', 'D4', 'E4', 'F4', 'G3']","[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]"
15.0 to 15.875,"[0, 2, 4, 5]","['C3', 'C4', 'D4', 'E4', 'F4']","[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
16.0 to 16.5,"[4, 5, 7, 9]","['A4', 'E4', 'F4', 'G4']","[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
17.0 to 17.0,"[4, 7]","['E4', 'G4']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
18.0 to 18.875,"[0, 4, 7, 8]","['C4', 'E4', 'G#4', 'G4']","[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
19.0 to 19.875,"[4, 5, 7, 9]","['A4', 'E4', 'F3', 'F4', 'G4']","[0, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0]"
20.0 to 20.875,"[0, 2, 4, 5]","['C4', 'D4', 'E4', 'F3', 'F4']","[1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0]"
21.0 to 21.875,"[0, 4, 7]","['C4', 'E4', 'G3']","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
22.0 to 22.0,"[2, 11]","['B3', 'D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
23.0 to 23.0,[7],['G2'],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
24.0 to 24.25,"[6, 7]","['F#5', 'G5']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
25.0 to 25.25,"[7, 11]","['B5', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
26.0 to 26.25,"[4, 6]","['E5', 'F#5']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
27.0 to 27.0,"[2, 6, 9]","['A4', 'D4', 'D5', 'F#3']","[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
28.5 to 28.75,"[0, 2, 6, 9]","['A4', 'C5', 'D4', 'F#3']","[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
29.0 to 29.0,"[2, 7, 11]","['B4', 'D4', 'G3', 'G4']","[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]"
30.0 to 30.66666667,"[6, 7]","['F#5', 'G5']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
31.0 to 31.66666667,"[7, 9, 11]","['A5', 'B5', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]"
32.0 to 32.66666667,"[2, 4, 6]","['D5', 'E5', 'F#5']","[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
33.0 to 33.0,"[2, 6, 9]","['A4', 'D4', 'D5', 'F#3']","[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
34.5 to 34.75,"[0, 2, 6, 9]","['A4', 'C5', 'D4', 'F#3']","[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
35.0 to 35.0,"[2, 7, 11]","['B4', 'D4', 'G3', 'G4']","[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]"
36.0 to 36.875,"[0, 2, 9, 11]","['A4', 'B4', 'C4', 'D4']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
37.0 to 37.0,"[2, 7, 11]","['B3', 'D4', 'G4']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
38.0 to 38.875,"[2, 4, 6, 7, 9]","['A3', 'D3', 'D4', 'E4', 'F#4', 'G4']","[0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0]"
39.0 to 39.0,[7],"['G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
40.0 to 40.75,"[2, 7]","['D3', 'D4', 'G3', 'G4']","[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
41.0 to 41.0,[7],"['G2', 'G3']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
42.0 to 42.0,"[0, 4]","['C4', 'C5', 'E4']","[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
44.0 to 44.875,"[2, 4, 5, 7]","['D5', 'E5', 'F5', 'G3', 'G4']","[0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0]"
45.0 to 45.875,"[0, 4, 5]","['C3', 'C4', 'E5', 'F5']","[2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
46.0 to 46.5,"[7, 9]","['A5', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
47.0 to 47.0,[7],['G5'],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
48.0 to 48.0,[0],"['C5', 'C6']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49.0 to 49.875,"[0, 4, 11]","['B5', 'C5', 'C6', 'E3', 'E4']","[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1]"
50.0 to 50.875,"[0, 7, 9]","['A5', 'C3', 'C4', 'C5', 'G5']","[3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
51.0 to 51.875,"[0, 2, 5, 7]","['C5', 'D3', 'D4', 'F5', 'G5']","[1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
52.0 to 52.875,"[4, 5, 7, 11]","['B4', 'E5', 'F5', 'G2', 'G3', 'G5']","[0, 0, 0, 0, 1, 1, 0, 3, 0, 0, 0, 1]"
53.0 to 53.0,"[0, 4]","['C3', 'C4', 'C5', 'E5']","[3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
54.0 to 54.0,[0],"['C3', 'C4']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56.0 to 56.875,"[0, 2, 4, 5, 7, 11]","['B3', 'C4', 'D4', 'E4', 'F4', 'G3']","[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]"
57.0 to 57.875,"[0, 2, 4, 5]","['C3', 'C4', 'D4', 'E4', 'F4']","[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
58.0 to 58.5,"[4, 5, 7, 9]","['A4', 'E4', 'F4', 'G4']","[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
59.0 to 59.0,"[4, 7]","['E4', 'G4']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
60.0 to 60.875,"[0, 4, 7, 8]","['C4', 'E4', 'G#4', 'G4']","[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
61.0 to 61.875,"[4, 5, 7, 9]","['A4', 'E4', 'F3', 'F4', 'G4']","[0, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0]"
62.0 to 62.875,"[0, 2, 4, 5]","['C4', 'D4', 'E4', 'F3', 'F4']","[1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0]"
63.0 to 63.875,"[0, 4, 7]","['C4', 'E4', 'G3']","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
64.0 to 64.0,"[2, 11]","['B3', 'D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
65.0 to 65.0,[7],['G2'],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
66.0 to 66.25,"[6, 7]","['F#5', 'G5']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
67.0 to 67.25,"[7, 11]","['B5', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
68.0 to 68.25,"[4, 6]","['E5', 'F#5']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
69.0 to 69.0,"[2, 6, 9]","['A4', 'D4', 'D5', 'F#3']","[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
70.5 to 70.75,"[0, 2, 6, 9]","['A4', 'C5', 'D4', 'F#3']","[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
71.0 to 71.0,"[2, 7, 11]","['B4', 'D4', 'G3', 'G4']","[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]"
72.0 to 72.66666667,"[6, 7]","['F#5', 'G5']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
