offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
0.0 to 0.875,[0],"['C3', 'C4', 'C5']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1.0 to 1.75,"[0, 4]","['C3', 'E4', 'E5']","[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
2.0 to 2.875,"[0, 6]","['C3', 'C4', 'F#4', 'F#5']","[2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
3.0 to 3.875,"[6, 7, 11]","['B2', 'B3', 'F#4', 'F#5', 'G4', 'G5']","[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2]"
4.0 to 4.875,"[2, 11]","['B3', 'B4', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
5.0 to 5.75,"[2, 7]","['D4', 'D5', 'G3', 'G4']","[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
6.0 to 6.875,"[0, 4, 5]","['C4', 'C5', 'E4', 'E5', 'F4', 'F5']","[2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]"
7.0 to 7.875,"[5, 9]","['A4', 'A5', 'F3', 'F4', 'F5']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0]"
8.0 to 8.875,"[0, 2, 6]","['C4', 'C5', 'D4', 'D5', 'F#3', 'F#4']","[2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
9.0 to 9.875,"[0, 7]","['C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
10.0 to 10.875,"[0, 2]","['C4', 'C5', 'D3', 'D4']","[2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11.0 to 11.0,"[7, 11]","['B3', 'B4', 'G2', 'G3']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2]"
12.0 to 12.25,"[0, 9]","['A3', 'A4', 'C4', 'C5']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
13.0 to 13.25,"[0, 7]","['C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
14.0 to 14.25,"[0, 5]","['C4', 'C5', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
15.0 to 15.875,"[0, 4, 7]","['C4', 'C5', 'E3', 'E4', 'G4', 'G5']","[2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]"
16.0 to 16.0,[7],"['G4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
17.0 to 17.0,"[4, 8]","['E3', 'E4', 'G#4', 'G#5']","[0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]"
18.0 to 18.875,"[0, 5, 9, 11]","['A4', 'A5', 'B4', 'B5', 'C5', 'C6', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2]"
19.0 to 19.875,"[0, 9]","['A3', 'A4', 'C5', 'C6']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
20.0 to 20.875,"[0, 5, 9, 11]","['A4', 'A5', 'B4', 'B5', 'C5', 'C6', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2]"
21.0 to 21.0,"[4, 7]","['E3', 'E4', 'G4', 'G5']","[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]"
22.0 to 22.0,"[0, 5]","['C4', 'C5', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
23.0 to 23.875,"[0, 7, 9, 11]","['A3', 'A4', 'B3', 'B4', 'C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2]"
24.0 to 24.875,"[0, 11]","['B3', 'B4', 'C3', 'C4']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
25.0 to 25.0,"[0, 7]","['C4', 'C5', 'G2', 'G3']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
26.0 to 26.0,[0],"['C2', 'C3']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27.0 to 27.875,[0],"['C3', 'C4', 'C5']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28.0 to 28.75,"[0, 4]","['C3', 'E4', 'E5']","[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
29.0 to 29.875,"[0, 6]","['C3', 'C4', 'F#4', 'F#5']","[2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
30.0 to 30.875,"[6, 7, 11]","['B2', 'B3', 'F#4', 'F#5', 'G4', 'G5']","[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2]"
31.0 to 31.875,"[2, 11]","['B3', 'B4', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
32.0 to 32.75,"[2, 7]","['D4', 'D5', 'G3', 'G4']","[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
33.0 to 33.875,"[0, 4, 5]","['C4', 'C5', 'E4', 'E5', 'F4', 'F5']","[2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]"
34.0 to 34.875,"[5, 9]","['A4', 'A5', 'F3', 'F4', 'F5']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0]"
35.0 to 35.875,"[0, 2, 6]","['C4', 'C5', 'D4', 'D5', 'F#3', 'F#4']","[2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
36.0 to 36.875,"[0, 7]","['C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
37.0 to 37.875,"[0, 2]","['C4', 'C5', 'D3', 'D4']","[2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38.0 to 38.0,"[7, 11]","['B3', 'B4', 'G2', 'G3']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2]"
39.0 to 39.25,"[0, 9]","['A3', 'A4', 'C4', 'C5']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
40.0 to 40.25,"[0, 7]","['C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
41.0 to 41.25,"[0, 5]","['C4', 'C5', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
42.0 to 42.875,"[0, 4, 7]","['C4', 'C5', 'E3', 'E4', 'G4', 'G5']","[2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]"
43.0 to 43.0,[7],"['G4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
44.0 to 44.0,"[4, 8]","['E3', 'E4', 'G#4', 'G#5']","[0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]"
45.0 to 45.875,"[0, 5, 9, 11]","['A4', 'A5', 'B4', 'B5', 'C5', 'C6', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2]"
46.0 to 46.875,"[0, 9]","['A3', 'A4', 'C5', 'C6']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
47.0 to 47.875,"[0, 5, 9, 11]","['A4', 'A5', 'B4', 'B5', 'C5', 'C6', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2]"
48.0 to 48.0,"[4, 7]","['E3', 'E4', 'G4', 'G5']","[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]"
49.0 to 49.0,"[0, 5]","['C4', 'C5', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
50.0 to 50.875,"[0, 7, 9, 11]","['A3', 'A4', 'B3', 'B4', 'C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2]"
51.0 to 51.875,"[0, 11]","['B3', 'B4', 'C3', 'C4']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
52.0 to 52.0,"[0, 7]","['C4', 'C5', 'G2', 'G3']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
53.0 to 53.0,[0],"['C2', 'C3']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54.0 to 54.0,[7],"['G3', 'G4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
55.0 to 55.0,"[4, 7]","['E3', 'E4', 'G4', 'G5']","[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]"
56.0 to 56.0,"[2, 7]","['D3', 'D4', 'G4', 'G5']","[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
57.0 to 57.875,"[1, 7, 10]","['B-4', 'B-5', 'C#3', 'C#4', 'G4', 'G5']","[0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]"
58.0 to 58.0,[10],"['B-4', 'B-5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
59.0 to 59.875,"[1, 7, 9, 10]","['A4', 'A5', 'B-4', 'B-5', 'C#4', 'C#5', 'G4', 'G5']","[0, 2, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0]"
60.0 to 60.875,"[2, 5]","['D4', 'D5', 'F4', 'F5']","[0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
61.0 to 61.875,"[4, 7]","['E4', 'E5', 'G3', 'G4']","[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]"
62.0 to 62.0,"[2, 10]","['B-3', 'B-4', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
63.0 to 63.875,"[2, 9]","['A3', 'A4', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
