offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
99.0 to 99.5,[2],"['D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100.0 to 100.5,"[2, 5, 9]","['A3', 'D4', 'D5', 'F3']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
101.0 to 101.5,"[2, 5, 9]","['A3', 'D3', 'D4', 'D5', 'F5']","[0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
102.0 to 102.5,"[2, 4, 9]","['A2', 'A3', 'D4', 'D5', 'E5']","[0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0, 0]"
103.0 to 103.5,"[1, 9]","['A4', 'C#4', 'C#5']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
104.0 to 104.5,[9],"['A3', 'A4', 'A5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
105.0 to 105.5,[0],"['C4', 'C5']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
106.0 to 106.5,"[0, 3, 7]","['C4', 'C5', 'E-3', 'G3']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
107.0 to 107.5,"[0, 3, 7]","['C3', 'C4', 'C5', 'E-5', 'G3']","[3, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
108.0 to 108.5,"[0, 2, 7]","['C4', 'C5', 'D5', 'G2', 'G3']","[2, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
109.0 to 109.5,"[7, 11]","['B3', 'B4', 'G4']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2]"
110.0 to 110.5,[7],"['G3', 'G4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
111.0 to 111.5,[10],"['B-3', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
112.0 to 112.5,"[2, 5, 10]","['B-3', 'B-4', 'D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
113.0 to 113.5,"[2, 5, 10]","['B-2', 'B-3', 'B-4', 'D5', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 3, 0]"
114.0 to 114.5,"[0, 5, 10]","['B-3', 'B-4', 'C5', 'F2', 'F3']","[1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0]"
115.0 to 115.5,"[5, 9]","['A3', 'A4', 'F4']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
116.0 to 116.5,"[5, 9]","['A2', 'A3', 'F3', 'F4', 'F5']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0]"
117.0 to 117.5,[10],"['B-2', 'B-3', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
118.0 to 118.5,[7],"['G2', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
119.0 to 119.5,[0],"['C3', 'C4', 'C5']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
120.0 to 120.0,[5],"['F3', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
121.0 to 121.5,"[0, 5]","['C3', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
122.0 to 122.0,[5],['F2'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
123.0 to 123.5,[2],"['D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
124.0 to 124.5,"[2, 5, 9]","['A3', 'D4', 'D5', 'F3']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
125.0 to 125.5,"[2, 5, 9]","['A3', 'D3', 'D4', 'D5', 'F5']","[0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
126.0 to 126.5,"[2, 4, 9]","['A2', 'A3', 'D4', 'D5', 'E5']","[0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0, 0]"
127.0 to 127.5,"[1, 9]","['A4', 'C#4', 'C#5']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
128.0 to 128.5,[9],"['A3', 'A4', 'A5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
129.0 to 129.5,[0],"['C4', 'C5']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
130.0 to 130.5,"[0, 3, 7]","['C4', 'C5', 'E-3', 'G3']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
131.0 to 131.5,"[0, 3, 7]","['C3', 'C4', 'C5', 'E-5', 'G3']","[3, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
132.0 to 132.5,"[0, 2, 7]","['C4', 'C5', 'D5', 'G2', 'G3']","[2, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
133.0 to 133.5,"[7, 11]","['B3', 'B4', 'G4']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2]"
134.0 to 134.5,[7],"['G3', 'G4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
135.0 to 135.5,[10],"['B-3', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
136.0 to 136.5,"[2, 5, 10]","['B-3', 'B-4', 'D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
137.0 to 137.5,"[2, 5, 10]","['B-2', 'B-3', 'B-4', 'D5', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 3, 0]"
138.0 to 138.5,"[0, 5, 10]","['B-3', 'B-4', 'C5', 'F2', 'F3']","[1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0]"
139.0 to 139.5,"[5, 9]","['A3', 'A4', 'F4']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
140.0 to 140.5,"[5, 9]","['A2', 'A3', 'F3', 'F4', 'F5']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0]"
141.0 to 141.5,[10],"['B-2', 'B-3', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
142.0 to 142.5,[7],"['G2', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
143.0 to 143.5,[0],"['C3', 'C4', 'C5']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
144.0 to 144.0,[5],"['F3', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
145.0 to 145.5,"[0, 5]","['C3', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
146.0 to 146.0,[5],['F2'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
147.0 to 147.0,[5],"['F3', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
148.0 to 148.0,"[5, 9]","['A4', 'F2', 'F3', 'F4']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0]"
149.0 to 149.0,"[0, 4, 5, 9]","['A2', 'C5', 'E4', 'F3', 'F4']","[1, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0]"
150.0 to 150.0,"[2, 5, 10]","['B-2', 'D4', 'D5', 'F3', 'F4']","[0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 1, 0]"
151.0 to 151.0,"[2, 10]","['B-2', 'D3', 'D4', 'D5']","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
152.0 to 152.0,"[2, 6, 10]","['B-2', 'D4', 'D5', 'F#3', 'F#4']","[0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0]"
