offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
134.5 to 134.5,[9],['A3'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
135.0 to 135.5,"[2, 5, 9]","['A3', 'D3', 'D4', 'F3']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
136.0 to 136.5,"[2, 4]","['D3', 'E3']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
137.0 to 137.5,"[2, 5]","['D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
138.0 to 138.5,"[2, 4, 7]","['D3', 'E3', 'G3']","[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
139.0 to 139.5,"[2, 5, 9]","['A3', 'D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
140.0 to 140.5,"[2, 7, 10]","['B-3', 'D3', 'G3']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
141.0 to 141.5,"[2, 5, 9]","['A3', 'D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
142.0 to 142.5,[2],"['D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
143.0 to 143.5,"[2, 5]","['D3', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
144.0 to 144.5,"[2, 5, 9]","['A3', 'D3', 'D4', 'F3']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
145.0 to 145.5,"[2, 4]","['D3', 'E3']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
146.0 to 146.5,"[2, 5]","['D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
147.0 to 147.5,"[2, 4, 7]","['D3', 'E3', 'G3']","[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
148.0 to 148.5,"[2, 5, 9]","['A3', 'D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
149.0 to 149.5,"[2, 7, 10]","['B-3', 'D3', 'G3']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
150.0 to 150.5,"[2, 5, 9]","['A3', 'D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
151.0 to 151.5,[2],"['D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
152.0 to 152.5,"[2, 5]","['D3', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
153.0 to 153.5,"[1, 4, 9]","['A3', 'A4', 'C#3', 'E3', 'E4']","[0, 1, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]"
154.0 to 154.5,"[0, 4]","['C4', 'E4']","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
155.0 to 155.5,"[1, 4, 9]","['A3', 'A4', 'C#3', 'E3']","[0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]"
156.0 to 156.5,"[2, 5, 9]","['A3', 'A4', 'D3', 'D4', 'F3']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
157.0 to 157.5,"[2, 5]","['D4', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
158.0 to 158.5,"[2, 5, 9]","['A3', 'A4', 'D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
159.0 to 159.5,"[0, 4, 9]","['A4', 'C3', 'C4', 'E3', 'E4']","[2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0]"
160.0 to 160.5,"[2, 5, 9, 11]","['A4', 'B3', 'D3', 'D4', 'F3']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
161.0 to 161.5,"[4, 8]","['E3', 'G#3', 'G#4']","[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0]"
162.0 to 162.5,"[4, 9]","['A2', 'A3', 'A4', 'E3']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0]"
163.0 to 163.5,"[0, 4]","['C3', 'E3']","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
164.0 to 164.5,[9],"['A2', 'A3']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
165.0 to 165.5,"[2, 5, 9]","['A3', 'D3', 'D4', 'F3']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
166.0 to 166.5,"[2, 4]","['D3', 'E3']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
167.0 to 167.5,"[2, 5]","['D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
168.0 to 168.5,"[2, 4, 7]","['D3', 'E3', 'G3']","[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
169.0 to 169.5,"[2, 5, 9]","['A3', 'D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
170.0 to 170.5,"[2, 7, 10]","['B-3', 'D3', 'G3']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
171.0 to 171.5,"[2, 5, 9]","['A3', 'D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
172.0 to 172.5,[2],"['D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
173.0 to 173.5,"[2, 5]","['D3', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
174.0 to 174.5,"[2, 5, 9]","['A3', 'D3', 'D4', 'F3']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
175.0 to 175.5,"[2, 4]","['D3', 'E3']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
176.0 to 176.5,"[2, 5]","['D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
177.0 to 177.5,"[2, 4, 7]","['D3', 'E3', 'G3']","[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
178.0 to 178.5,"[2, 5, 9]","['A3', 'D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
179.0 to 179.5,"[2, 7, 10]","['B-3', 'D3', 'G3']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
180.0 to 180.5,"[2, 5, 9]","['A3', 'D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
181.0 to 181.5,[2],"['D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
182.0 to 182.5,"[2, 5]","['D3', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
183.0 to 183.5,"[0, 4, 9]","['A3', 'A4', 'C3', 'E3', 'E4']","[1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]"
184.0 to 184.5,"[0, 4]","['C4', 'E4']","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
185.0 to 185.5,"[0, 4, 9]","['A3', 'A4', 'C3', 'E3']","[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]"
