offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence,octScalePitch,offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
157.0,<music21.chord.Chord F5 D4 B-3 B-2>,"[0, 4, 7]","[10, 2, 5]","[0, 4, 7]",77,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[0, 4, 7]_0",0.886794292,"['F5', 'D4', 'B-3', 'B-2']",157.0 to 157.0,"[2, 5, 10]","['B-2', 'B-3', 'D4', 'F5']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
158.0,<music21.chord.Chord E-5 D4 B-3 B-2>,"[0, 4, 5]","[10, 2, 3]","[0, 4, 5]",75,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[0, 4, 5]_0",0.877281215,"['E-5', 'D4', 'B-3', 'B-2']",158.0 to 158.875,"[2, 3, 10]","['B-2', 'B-3', 'D4', 'D5', 'E-5']","[0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
158.5,<music21.chord.Chord D5 D4 B-3 B-2>,"[0, 4]","[10, 2]","[0, 4]",74,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[0, 4]_0",0.8373898890000001,"['D5', 'D4', 'B-3', 'B-2']",158.0 to 158.875,"[2, 3, 10]","['B-2', 'B-3', 'D4', 'D5', 'E-5']","[0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
158.875,<music21.chord.Chord D5>,[0],[2],[4],74,74,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,[4]_4,0.8373898890000001,['D5'],158.0 to 158.875,"[2, 3, 10]","['B-2', 'B-3', 'D4', 'D5', 'E-5']","[0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
159.0,<music21.chord.Chord C5 D4 B-3 B-2>,"[0, 2, 4]","[10, 0, 2]","[0, 2, 4]",72,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[0, 2, 4]_0",0.8373898890000001,"['C5', 'D4', 'B-3', 'B-2']",159.0 to 159.875,"[0, 2, 10]","['B-2', 'B-3', 'B-4', 'C5', 'D4']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
159.5,<music21.chord.Chord B-4 D4 B-3 B-2>,"[0, 4]","[10, 2]","[0, 4]",70,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,3,major,"[7, 11]_7",0.80979401,"['B-4', 'D4', 'B-3', 'B-2']",159.0 to 159.875,"[0, 2, 10]","['B-2', 'B-3', 'B-4', 'C5', 'D4']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
159.875,<music21.chord.Chord B-4>,[0],[10],[0],70,70,String Quartet Op1 No1 iv Bb major.mid,Haydn,3,major,[7]_7,0.80979401,['B-4'],159.0 to 159.875,"[0, 2, 10]","['B-2', 'B-3', 'B-4', 'C5', 'D4']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
160.0,<music21.chord.Chord G5 E-4 B-3 B-2>,"[0, 4, 7]","[3, 7, 10]","[5, 9, 0]",79,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,3,major,"[0, 4, 7]_7",0.80979401,"['G5', 'E-4', 'B-3', 'B-2']",160.0 to 160.0,"[3, 7, 10]","['B-2', 'B-3', 'E-4', 'G5']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0]"
161.0,<music21.chord.Chord F5 E-4 B-3 B-2>,"[0, 2, 7]","[3, 5, 10]","[5, 7, 0]",77,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[5, 7, 0]_0",0.8493226359999999,"['F5', 'E-4', 'B-3', 'B-2']",161.0 to 161.875,"[3, 5, 10]","['B-2', 'B-3', 'E-4', 'E-5', 'F5']","[0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0]"
161.5,<music21.chord.Chord E-5 E-4 B-3 B-2>,"[0, 5]","[10, 3]","[0, 5]",75,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[0, 5]_0",0.905571925,"['E-5', 'E-4', 'B-3', 'B-2']",161.0 to 161.875,"[3, 5, 10]","['B-2', 'B-3', 'E-4', 'E-5', 'F5']","[0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0]"
161.875,<music21.chord.Chord E-5>,[0],[3],[5],75,75,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,[5]_5,0.905571925,['E-5'],161.0 to 161.875,"[3, 5, 10]","['B-2', 'B-3', 'E-4', 'E-5', 'F5']","[0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0]"
162.0,<music21.chord.Chord D5 E-4 B-3 B-2>,"[0, 4, 5]","[10, 2, 3]","[0, 4, 5]",74,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[0, 4, 5]_0",0.905571925,"['D5', 'E-4', 'B-3', 'B-2']",162.0 to 162.875,"[0, 2, 3, 10]","['B-2', 'B-3', 'C5', 'D5', 'E-4']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
162.5,<music21.chord.Chord C5 E-4 B-3 B-2>,"[0, 2, 5]","[10, 0, 3]","[0, 2, 5]",72,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[0, 2, 5]_0",0.905571925,"['C5', 'E-4', 'B-3', 'B-2']",162.0 to 162.875,"[0, 2, 3, 10]","['B-2', 'B-3', 'C5', 'D5', 'E-4']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
162.875,<music21.chord.Chord C5>,[0],[0],[2],72,72,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,[2]_2,0.905571925,['C5'],162.0 to 162.875,"[0, 2, 3, 10]","['B-2', 'B-3', 'C5', 'D5', 'E-4']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
163.0,<music21.chord.Chord E-5 C4 B-3 B-2>,"[0, 2, 5]","[10, 0, 3]","[0, 2, 5]",75,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[0, 2, 5]_0",0.905571925,"['E-5', 'C4', 'B-3', 'B-2']",163.0 to 163.0,"[0, 3, 10]","['B-2', 'B-3', 'C4', 'E-5']","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
164.0,<music21.chord.Chord D5 E-4 B-3 B-2>,"[0, 4, 5]","[10, 2, 3]","[0, 4, 5]",74,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[0, 4, 5]_0",0.905571925,"['D5', 'E-4', 'B-3', 'B-2']",164.0 to 164.875,"[0, 2, 3, 10]","['B-2', 'B-3', 'C5', 'D5', 'E-4']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
164.5,<music21.chord.Chord C5 E-4 B-3 B-2>,"[0, 2, 5]","[10, 0, 3]","[0, 2, 5]",72,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[0, 2, 5]_0",0.905571925,"['C5', 'E-4', 'B-3', 'B-2']",164.0 to 164.875,"[0, 2, 3, 10]","['B-2', 'B-3', 'C5', 'D5', 'E-4']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
164.875,<music21.chord.Chord C5>,[0],[0],[2],72,72,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,[2]_2,0.905571925,['C5'],164.0 to 164.875,"[0, 2, 3, 10]","['B-2', 'B-3', 'C5', 'D5', 'E-4']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
165.0,<music21.chord.Chord B-4 E-4 B-3 B-2>,"[0, 5]","[10, 3]","[0, 5]",70,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[0, 5]_0",0.905571925,"['B-4', 'E-4', 'B-3', 'B-2']",165.0 to 165.875,"[3, 9, 10]","['A4', 'B-2', 'B-3', 'B-4', 'E-4']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 3, 0]"
165.5,<music21.chord.Chord A4 E-4 B-3 B-2>,"[0, 1, 6]","[9, 10, 3]","[11, 0, 5]",69,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[11, 0, 5]_0",0.905571925,"['A4', 'E-4', 'B-3', 'B-2']",165.0 to 165.875,"[3, 9, 10]","['A4', 'B-2', 'B-3', 'B-4', 'E-4']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 3, 0]"
