offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence,octScalePitch,offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
156.0,<music21.chord.Chord G5 E-4 C5 C4>,"[0, 3, 7]","[0, 3, 7]","[9, 0, 4]",79,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 3, 7]_0",0.7840670259999999,"['G5', 'E-4', 'C5', 'C4']",156.0 to 156.875,"[0, 3, 7]","['C4', 'C5', 'E-4', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
156.875,<music21.chord.Chord G5>,[0],[7],[4],79,79,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,[7]_7,0.7840670259999999,['G5'],156.0 to 156.875,"[0, 3, 7]","['C4', 'C5', 'E-4', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
157.0,<music21.chord.Chord G5 E-4 C5 C4>,"[0, 3, 7]","[0, 3, 7]","[9, 0, 4]",79,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 3, 7]_0",0.7840670259999999,"['G5', 'E-4', 'C5', 'C4']",157.0 to 157.75,"[0, 3, 7]","['C4', 'C5', 'E-4', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
157.75,<music21.chord.Chord E-4 C5 C4>,"[0, 3]","[0, 3]","[9, 0]",72,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 3]_0",0.7840670259999999,"['E-4', 'C5', 'C4']",157.0 to 157.75,"[0, 3, 7]","['C4', 'C5', 'E-4', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
158.0,<music21.chord.Chord G#5 E-4 C5 C4>,"[0, 4, 7]","[8, 0, 3]","[5, 9, 0]",80,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[8, 0, 3]_0",0.7840670259999999,"['G#5', 'E-4', 'C5', 'C4']",158.0 to 158.875,"[0, 3, 7, 8]","['C4', 'C5', 'E-4', 'G#5', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
158.5,<music21.chord.Chord G5 E-4 C5 C4>,"[0, 3, 7]","[0, 3, 7]","[9, 0, 4]",79,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 3, 7]_0",0.7840670259999999,"['G5', 'E-4', 'C5', 'C4']",158.0 to 158.875,"[0, 3, 7, 8]","['C4', 'C5', 'E-4', 'G#5', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
158.875,<music21.chord.Chord G5>,[0],[7],[4],79,79,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,[7]_7,0.7840670259999999,['G5'],158.0 to 158.875,"[0, 3, 7, 8]","['C4', 'C5', 'E-4', 'G#5', 'G5']","[2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
159.0,<music21.chord.Chord G5 D4 C5 C4>,"[0, 2, 7]","[0, 2, 7]","[9, 11, 4]",79,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 2, 7]_0",0.7840670259999999,"['G5', 'D4', 'C5', 'C4']",159.0 to 159.875,"[0, 2, 6, 7]","['C4', 'C5', 'D4', 'F#5', 'G5']","[2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
159.5,<music21.chord.Chord F#5 D4 C5 C4>,"[0, 2, 6]","[0, 2, 6]","[9, 11, 3]",78,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 2, 6]_0",0.7840670259999999,"['F#5', 'D4', 'C5', 'C4']",159.0 to 159.875,"[0, 2, 6, 7]","['C4', 'C5', 'D4', 'F#5', 'G5']","[2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
159.875,<music21.chord.Chord F#5>,[0],[6],[3],78,78,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,[6]_6,0.7840670259999999,['F#5'],159.0 to 159.875,"[0, 2, 6, 7]","['C4', 'C5', 'D4', 'F#5', 'G5']","[2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
160.0,<music21.chord.Chord F#5 D4 C5 C4>,"[0, 2, 6]","[0, 2, 6]","[9, 11, 3]",78,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 2, 6]_0",0.7840670259999999,"['F#5', 'D4', 'C5', 'C4']",160.0 to 160.875,"[0, 2, 6]","['C4', 'C5', 'D4', 'F#5']","[2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
160.875,<music21.chord.Chord F#5>,[0],[6],[3],78,78,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,[6]_6,0.7840670259999999,['F#5'],160.0 to 160.875,"[0, 2, 6]","['C4', 'C5', 'D4', 'F#5']","[2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
161.0,<music21.chord.Chord F#5 D4 C5 C4>,"[0, 2, 6]","[0, 2, 6]","[9, 11, 3]",78,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 2, 6]_0",0.7840670259999999,"['F#5', 'D4', 'C5', 'C4']",161.0 to 161.75,"[0, 2, 6]","['C4', 'C5', 'D4', 'F#5']","[2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
161.75,<music21.chord.Chord D4 C5 C4>,"[0, 2]","[0, 2]","[9, 11]",72,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 2]_0",0.7840670259999999,"['D4', 'C5', 'C4']",161.0 to 161.75,"[0, 2, 6]","['C4', 'C5', 'D4', 'F#5']","[2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
162.0,<music21.chord.Chord F5 D4 B4 B3>,"[0, 3, 6]","[11, 2, 5]","[8, 11, 2]",77,59,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[11, 2, 5]_11",0.7840670259999999,"['F5', 'D4', 'B4', 'B3']",162.0 to 162.0,"[2, 5, 11]","['B3', 'B4', 'D4', 'F5']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2]"
