offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence,octScalePitch,offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
168.0,<music21.chord.Chord D5 D4 D3>,[0],[2],[0],74,50,String Quartet Op1 No3 iv D major.mid,Haydn,2,major,[0]_0,0.8761656170000001,"['D5', 'D4', 'D3']",168.0 to 168.875,"[2, 9]","['A4', 'D3', 'D4', 'D5']","[0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
168.5,<music21.chord.Chord D5 A4 D4 D3>,"[0, 5]","[9, 2]","[7, 0]",74,50,String Quartet Op1 No3 iv D major.mid,Haydn,2,major,"[7, 0]_0",0.8390939190000001,"['D5', 'A4', 'D4', 'D3']",168.0 to 168.875,"[2, 9]","['A4', 'D3', 'D4', 'D5']","[0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
168.625,<music21.chord.Chord D5 D4 D3>,[0],[2],[0],74,50,String Quartet Op1 No3 iv D major.mid,Haydn,2,major,[0]_0,0.8390939190000001,"['D5', 'D4', 'D3']",168.0 to 168.875,"[2, 9]","['A4', 'D3', 'D4', 'D5']","[0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
168.875,<music21.chord.Chord D5 D4>,[0],[2],[0],74,62,String Quartet Op1 No3 iv D major.mid,Haydn,2,major,[0]_0,0.8390939190000001,"['D5', 'D4']",168.0 to 168.875,"[2, 9]","['A4', 'D3', 'D4', 'D5']","[0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
169.0,<music21.chord.Chord D5 G4 D4>,"[0, 5]","[2, 7]","[0, 5]",74,62,String Quartet Op1 No3 iv D major.mid,Haydn,2,major,"[0, 5]_0",0.8390939190000001,"['D5', 'G4', 'D4']",169.0 to 169.625,"[2, 5, 7]","['D4', 'D5', 'F4', 'G4']","[0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
169.125,<music21.chord.Chord D5 D4>,[0],[2],[0],74,62,String Quartet Op1 No3 iv D major.mid,Haydn,2,minor,[0]_0,0.697580237,"['D5', 'D4']",169.0 to 169.625,"[2, 5, 7]","['D4', 'D5', 'F4', 'G4']","[0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
169.5,<music21.chord.Chord D5 F4 D4>,"[0, 3]","[2, 5]","[0, 3]",74,62,String Quartet Op1 No3 iv D major.mid,Haydn,2,minor,"[0, 3]_0",0.697580237,"['D5', 'F4', 'D4']",169.0 to 169.625,"[2, 5, 7]","['D4', 'D5', 'F4', 'G4']","[0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
169.625,<music21.chord.Chord D5 D4>,[0],[2],[0],74,62,String Quartet Op1 No3 iv D major.mid,Haydn,2,minor,[0]_0,0.697580237,"['D5', 'D4']",169.0 to 169.625,"[2, 5, 7]","['D4', 'D5', 'F4', 'G4']","[0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
170.0,<music21.chord.Chord D5 E4 D4>,"[0, 2]","[2, 4]","[0, 2]",74,62,String Quartet Op1 No3 iv D major.mid,Haydn,2,minor,"[0, 2]_0",0.697580237,"['D5', 'E4', 'D4']",170.0 to 170.625,"[2, 4]","['D4', 'D5', 'E4']","[0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
170.125,<music21.chord.Chord D5 D4>,[0],[2],[0],74,62,String Quartet Op1 No3 iv D major.mid,Haydn,2,minor,[0]_0,0.697580237,"['D5', 'D4']",170.0 to 170.625,"[2, 4]","['D4', 'D5', 'E4']","[0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
