offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence,octScalePitch,offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
180.0,<music21.chord.Chord G4 G3>,[0],[7],[0],67,55,String Quartet Op1 No4 ii G major.mid,Haydn,7,minor,[0]_0,0.932151548,"['G4', 'G3']",180.0 to 180.5,"[6, 7]","['F#3', 'F#4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0]"
180.5,<music21.chord.Chord F#4 F#3>,[0],[6],[11],66,54,String Quartet Op1 No4 ii G major.mid,Haydn,7,minor,[11]_11,0.932151548,"['F#4', 'F#3']",180.0 to 180.5,"[6, 7]","['F#3', 'F#4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0]"
181.0,<music21.chord.Chord G4 G3>,[0],[7],[0],67,55,String Quartet Op1 No4 ii G major.mid,Haydn,7,minor,[0]_0,0.932151548,"['G4', 'G3']",181.0 to 181.5,"[7, 9]","['A3', 'A4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0]"
181.5,<music21.chord.Chord A4 A3>,[0],[9],[2],69,57,String Quartet Op1 No4 ii G major.mid,Haydn,7,minor,[2]_2,0.932151548,"['A4', 'A3']",181.0 to 181.5,"[7, 9]","['A3', 'A4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0]"
182.0,<music21.chord.Chord B-4 B-3>,[0],[10],[3],70,58,String Quartet Op1 No4 ii G major.mid,Haydn,7,minor,[3]_3,0.932151548,"['B-4', 'B-3']",182.0 to 182.5,"[0, 10]","['B-3', 'B-4', 'C4', 'C5']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
182.5,<music21.chord.Chord C5 C4>,[0],[0],[5],72,60,String Quartet Op1 No4 ii G major.mid,Haydn,7,minor,[5]_5,0.932151548,"['C5', 'C4']",182.0 to 182.5,"[0, 10]","['B-3', 'B-4', 'C4', 'C5']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
183.0,<music21.chord.Chord D5 D4>,[0],[2],[7],74,62,String Quartet Op1 No4 ii G major.mid,Haydn,7,minor,[7]_7,0.932151548,"['D5', 'D4']",183.0 to 183.0,[2],"['D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
184.0,<music21.chord.Chord C5 A5 D4>,"[0, 3, 5]","[9, 0, 2]","[2, 5, 7]",81,62,String Quartet Op1 No4 ii G major.mid,Haydn,7,minor,"[2, 5, 7]_7",0.932151548,"['C5', 'A5', 'D4']",184.0 to 184.0,"[0, 2, 9]","['A5', 'C5', 'D4']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
185.0,<music21.chord.Chord F#5 D4 A4>,"[0, 4, 7]","[2, 6, 9]","[7, 11, 2]",78,62,String Quartet Op1 No4 ii G major.mid,Haydn,7,minor,"[7, 11, 2]_7",0.932151548,"['F#5', 'D4', 'A4']",185.0 to 185.0,"[2, 6, 9]","['A4', 'D4', 'F#5']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
186.0,<music21.chord.Chord G5 D4 B-4 G4 G3>,"[0, 3, 7]","[7, 10, 2]","[0, 3, 7]",79,55,String Quartet Op1 No4 ii G major.mid,Haydn,7,minor,"[0, 3, 7]_0",0.942486554,"['G5', 'D4', 'B-4', 'G4', 'G3']",186.0 to 186.875,"[2, 6, 7, 10]","['B-4', 'D4', 'F#3', 'F#4', 'G3', 'G4', 'G5']","[0, 0, 1, 0, 0, 0, 2, 3, 0, 0, 1, 0]"
