offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence,octScalePitch,offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
156.0,<music21.chord.Chord G4 G3 G2>,[0],[7],[0],67,43,String Quartet Op1 No4 iv G major.mid,Haydn,7,minor,[0]_0,0.8505059309999999,"['G4', 'G3', 'G2']",156.0 to 156.0,[7],"['G2', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
157.0,<music21.chord.Chord D5 B-3 B-2>,"[0, 4]","[10, 2]","[3, 7]",74,46,String Quartet Op1 No4 iv G major.mid,Haydn,7,minor,"[3, 7]_3",0.8505059309999999,"['D5', 'B-3', 'B-2']",157.0 to 157.875,"[0, 2, 10]","['B-2', 'B-3', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
157.5,<music21.chord.Chord C5 B-3 B-2>,"[0, 2]","[10, 0]","[3, 5]",72,46,String Quartet Op1 No4 iv G major.mid,Haydn,7,minor,"[3, 5]_3",0.8505059309999999,"['C5', 'B-3', 'B-2']",157.0 to 157.875,"[0, 2, 10]","['B-2', 'B-3', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
157.875,<music21.chord.Chord C5>,[0],[0],[5],72,72,String Quartet Op1 No4 iv G major.mid,Haydn,7,minor,[5]_5,0.8505059309999999,['C5'],157.0 to 157.875,"[0, 2, 10]","['B-2', 'B-3', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
158.0,<music21.chord.Chord B-4 D4 D3>,"[0, 4]","[10, 2]","[3, 7]",70,50,String Quartet Op1 No4 iv G major.mid,Haydn,7,minor,"[3, 7]_7",0.8505059309999999,"['B-4', 'D4', 'D3']",158.0 to 158.875,"[2, 9, 10]","['A4', 'B-4', 'D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
158.5,<music21.chord.Chord A4 D4 D3>,"[0, 5]","[9, 2]","[2, 7]",69,50,String Quartet Op1 No4 iv G major.mid,Haydn,7,minor,"[2, 7]_7",0.850005644,"['A4', 'D4', 'D3']",158.0 to 158.875,"[2, 9, 10]","['A4', 'B-4', 'D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
158.875,<music21.chord.Chord A4>,[0],[9],[2],69,69,String Quartet Op1 No4 iv G major.mid,Haydn,7,minor,[2]_2,0.850005644,['A4'],158.0 to 158.875,"[2, 9, 10]","['A4', 'B-4', 'D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
159.0,<music21.chord.Chord B-4 G4 G3>,"[0, 3]","[7, 10]","[0, 3]",70,55,String Quartet Op1 No4 iv G major.mid,Haydn,7,minor,"[0, 3]_0",0.850005644,"['B-4', 'G4', 'G3']",159.0 to 159.875,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
159.875,<music21.chord.Chord B-4>,[0],[10],[3],70,70,String Quartet Op1 No4 iv G major.mid,Haydn,7,minor,[3]_3,0.880496948,['B-4'],159.0 to 159.875,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
160.0,<music21.chord.Chord B-4 D5>,"[0, 4]","[10, 2]","[3, 7]",74,70,String Quartet Op1 No4 iv G major.mid,Haydn,7,minor,"[3, 7]_3",0.880496948,"['B-4', 'D5']",160.0 to 160.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
160.33333330000002,<music21.chord.Chord D5>,[0],[2],[7],74,74,String Quartet Op1 No4 iv G major.mid,Haydn,7,minor,[7]_7,0.880496948,['D5'],160.0 to 160.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
160.5,<music21.chord.Chord A4 C5>,"[0, 3]","[9, 0]","[2, 5]",72,69,String Quartet Op1 No4 iv G major.mid,Haydn,7,minor,"[2, 5]_2",0.880496948,"['A4', 'C5']",160.0 to 160.5,"[0, 2, 9, 10]","['A4', 'B-4', 'C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
