offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence,octScalePitch,offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
0.0,<music21.chord.Chord C5 E4 C4>,"[0, 4]","[0, 4]","[0, 4]",72,60,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['C5', 'E4', 'C4']",0.0 to 0.0,"[0, 4]","['C4', 'C5', 'E4']","[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
2.0,<music21.chord.Chord D5 G4 G3>,"[0, 5]","[2, 7]","[2, 7]",74,55,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['D5', 'G4', 'G3']",2.0 to 2.875,"[2, 4, 5, 7]","['D5', 'E5', 'F5', 'G3', 'G4']","[0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0]"
2.333333333,<music21.chord.Chord E5 G4 G3>,"[0, 3]","[4, 7]","[4, 7]",76,55,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['E5', 'G4', 'G3']",2.0 to 2.875,"[2, 4, 5, 7]","['D5', 'E5', 'F5', 'G3', 'G4']","[0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0]"
2.666666667,<music21.chord.Chord F5 G4 G3>,"[0, 2]","[5, 7]","[5, 7]",77,55,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['F5', 'G4', 'G3']",2.0 to 2.875,"[2, 4, 5, 7]","['D5', 'E5', 'F5', 'G3', 'G4']","[0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0]"
2.875,<music21.chord.Chord F5>,[0],[5],[5],77,77,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,['F5'],2.0 to 2.875,"[2, 4, 5, 7]","['D5', 'E5', 'F5', 'G3', 'G4']","[0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0]"
3.0,<music21.chord.Chord F5 C4 C3>,"[0, 5]","[0, 5]","[0, 5]",77,48,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['F5', 'C4', 'C3']",3.0 to 3.875,"[0, 4, 5]","['C3', 'C4', 'E5', 'F5']","[2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
3.5,<music21.chord.Chord E5 C4 C3>,"[0, 4]","[0, 4]","[0, 4]",76,48,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['E5', 'C4', 'C3']",3.0 to 3.875,"[0, 4, 5]","['C3', 'C4', 'E5', 'F5']","[2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
3.875,<music21.chord.Chord E5>,[0],[4],[4],76,76,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,['E5'],3.0 to 3.875,"[0, 4, 5]","['C3', 'C4', 'E5', 'F5']","[2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
4.0,<music21.chord.Chord A5>,[0],[9],[9],81,81,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,['A5'],4.0 to 4.5,"[7, 9]","['A5', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
4.5,<music21.chord.Chord G5>,[0],[7],[7],79,79,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,['G5'],4.0 to 4.5,"[7, 9]","['A5', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
5.0,<music21.chord.Chord G5>,[0],[7],[7],79,79,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,['G5'],5.0 to 5.0,[7],['G5'],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
