offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence,octScalePitch,offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
0.0,<music21.chord.Chord C5 C4 C3>,[0],[0],[0],72,48,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['C5', 'C4', 'C3']",0.0 to 0.875,[0],"['C3', 'C4', 'C5']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.875,<music21.chord.Chord C3>,[0],[0],[0],48,48,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,['C3'],0.0 to 0.875,[0],"['C3', 'C4', 'C5']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1.0,<music21.chord.Chord E5 E4 C3>,"[0, 4]","[0, 4]","[0, 4]",76,48,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['E5', 'E4', 'C3']",1.0 to 1.75,"[0, 4]","['C3', 'E4', 'E5']","[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
1.75,<music21.chord.Chord E5 E4>,[0],[4],[4],76,64,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['E5', 'E4']",1.0 to 1.75,"[0, 4]","['C3', 'E4', 'E5']","[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
2.0,<music21.chord.Chord F#5 F#4 C4 C3>,"[0, 6]","[0, 6]","[0, 6]",78,48,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['F#5', 'F#4', 'C4', 'C3']",2.0 to 2.875,"[0, 6]","['C3', 'C4', 'F#4', 'F#5']","[2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
2.875,<music21.chord.Chord F#5 F#4>,[0],[6],[6],78,66,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['F#5', 'F#4']",2.0 to 2.875,"[0, 6]","['C3', 'C4', 'F#4', 'F#5']","[2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
3.0,<music21.chord.Chord F#5 F#4 B3 B2>,"[0, 5]","[6, 11]","[6, 11]",78,47,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['F#5', 'F#4', 'B3', 'B2']",3.0 to 3.875,"[6, 7, 11]","['B2', 'B3', 'F#4', 'F#5', 'G4', 'G5']","[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2]"
3.5,<music21.chord.Chord G5 G4 B3 B2>,"[0, 4]","[7, 11]","[7, 11]",79,47,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['G5', 'G4', 'B3', 'B2']",3.0 to 3.875,"[6, 7, 11]","['B2', 'B3', 'F#4', 'F#5', 'G4', 'G5']","[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2]"
3.875,<music21.chord.Chord G5 G4>,[0],[7],[7],79,67,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['G5', 'G4']",3.0 to 3.875,"[6, 7, 11]","['B2', 'B3', 'F#4', 'F#5', 'G4', 'G5']","[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2]"
4.0,<music21.chord.Chord D5 D4 B4 B3>,"[0, 3]","[11, 2]","[11, 2]",74,59,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['D5', 'D4', 'B4', 'B3']",4.0 to 4.875,"[2, 11]","['B3', 'B4', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
