offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence,octScalePitch,offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
99.0,<music21.chord.Chord D4 D5>,[0],[2],[0],74,62,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,[0]_0,0.825072853,"['D4', 'D5']",99.0 to 99.5,[2],"['D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
99.5,<music21.chord.Chord D5 D4>,[0],[2],[0],74,62,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,[0]_0,0.825072853,"['D5', 'D4']",99.0 to 99.5,[2],"['D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100.0,<music21.chord.Chord D5 F3 D4 A3>,"[0, 3, 7]","[2, 5, 9]","[0, 3, 7]",74,53,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,"[0, 3, 7]_3",0.825072853,"['D5', 'F3', 'D4', 'A3']",100.0 to 100.5,"[2, 5, 9]","['A3', 'D4', 'D5', 'F3']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
100.5,<music21.chord.Chord D5 F3 D4 A3>,"[0, 3, 7]","[2, 5, 9]","[0, 3, 7]",74,53,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,"[0, 3, 7]_3",0.825072853,"['D5', 'F3', 'D4', 'A3']",100.0 to 100.5,"[2, 5, 9]","['A3', 'D4', 'D5', 'F3']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
101.0,<music21.chord.Chord F5 D5 D3 D4 A3>,"[0, 3, 7]","[2, 5, 9]","[0, 3, 7]",77,50,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,"[0, 3, 7]_0",0.825072853,"['F5', 'D5', 'D3', 'D4', 'A3']",101.0 to 101.5,"[2, 5, 9]","['A3', 'D3', 'D4', 'D5', 'F5']","[0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
101.5,<music21.chord.Chord D5 D3 D4 A3>,"[0, 5]","[9, 2]","[7, 0]",74,50,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,"[7, 0]_0",0.825072853,"['D5', 'D3', 'D4', 'A3']",101.0 to 101.5,"[2, 5, 9]","['A3', 'D3', 'D4', 'D5', 'F5']","[0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
102.0,<music21.chord.Chord E5 D5 A2 D4 A3>,"[0, 2, 7]","[2, 4, 9]","[0, 2, 7]",76,45,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,"[0, 2, 7]_7",0.825072853,"['E5', 'D5', 'A2', 'D4', 'A3']",102.0 to 102.5,"[2, 4, 9]","['A2', 'A3', 'D4', 'D5', 'E5']","[0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0, 0]"
102.5,<music21.chord.Chord D5 A2 D4 A3>,"[0, 5]","[9, 2]","[7, 0]",74,45,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,"[7, 0]_7",0.825072853,"['D5', 'A2', 'D4', 'A3']",102.0 to 102.5,"[2, 4, 9]","['A2', 'A3', 'D4', 'D5', 'E5']","[0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0, 0]"
103.0,<music21.chord.Chord A4 C#5 C#4>,"[0, 4]","[9, 1]","[7, 11]",73,61,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,"[7, 11]_11",0.825072853,"['A4', 'C#5', 'C#4']",103.0 to 103.5,"[1, 9]","['A4', 'C#4', 'C#5']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
103.5,<music21.chord.Chord C#5 C#4>,[0],[1],[11],73,61,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,[11]_11,0.795785015,"['C#5', 'C#4']",103.0 to 103.5,"[1, 9]","['A4', 'C#4', 'C#5']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
104.0,<music21.chord.Chord A5 A4 A3>,[0],[9],[7],81,57,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,[7]_7,0.795785015,"['A5', 'A4', 'A3']",104.0 to 104.5,[9],"['A3', 'A4', 'A5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
104.5,<music21.chord.Chord A4 A3>,[0],[9],[7],69,57,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,[7]_7,0.795785015,"['A4', 'A3']",104.0 to 104.5,[9],"['A3', 'A4', 'A5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
105.0,<music21.chord.Chord C4 C5>,[0],[0],[10],72,60,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,[10]_10,0.795785015,"['C4', 'C5']",105.0 to 105.5,[0],"['C4', 'C5']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
105.5,<music21.chord.Chord C5 C4>,[0],[0],[10],72,60,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,0,minor,[0]_0,0.7948874690000001,"['C5', 'C4']",105.0 to 105.5,[0],"['C4', 'C5']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
106.0,<music21.chord.Chord C5 E-3 C4 G3>,"[0, 3, 7]","[0, 3, 7]","[10, 1, 5]",72,51,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,0,minor,"[0, 3, 7]_3",0.7948874690000001,"['C5', 'E-3', 'C4', 'G3']",106.0 to 106.5,"[0, 3, 7]","['C4', 'C5', 'E-3', 'G3']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
106.5,<music21.chord.Chord C5 E-3 C4 G3>,"[0, 3, 7]","[0, 3, 7]","[10, 1, 5]",72,51,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,0,minor,"[0, 3, 7]_3",0.7948874690000001,"['C5', 'E-3', 'C4', 'G3']",106.0 to 106.5,"[0, 3, 7]","['C4', 'C5', 'E-3', 'G3']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
107.0,<music21.chord.Chord E-5 C5 C3 C4 G3>,"[0, 3, 7]","[0, 3, 7]","[10, 1, 5]",75,48,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,0,minor,"[0, 3, 7]_0",0.7948874690000001,"['E-5', 'C5', 'C3', 'C4', 'G3']",107.0 to 107.5,"[0, 3, 7]","['C3', 'C4', 'C5', 'E-5', 'G3']","[3, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
107.5,<music21.chord.Chord C5 C3 C4 G3>,"[0, 5]","[7, 0]","[5, 10]",72,48,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,10,major,"[9, 2]_2",0.811010022,"['C5', 'C3', 'C4', 'G3']",107.0 to 107.5,"[0, 3, 7]","['C3', 'C4', 'C5', 'E-5', 'G3']","[3, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
108.0,<music21.chord.Chord D5 C5 G2 C4 G3>,"[0, 2, 7]","[0, 2, 7]","[10, 0, 5]",74,43,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,10,major,"[2, 4, 9]_9",0.811010022,"['D5', 'C5', 'G2', 'C4', 'G3']",108.0 to 108.5,"[0, 2, 7]","['C4', 'C5', 'D5', 'G2', 'G3']","[2, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
108.5,<music21.chord.Chord C5 G2 C4 G3>,"[0, 5]","[7, 0]","[5, 10]",72,43,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,10,major,"[9, 2]_9",0.811010022,"['C5', 'G2', 'C4', 'G3']",108.0 to 108.5,"[0, 2, 7]","['C4', 'C5', 'D5', 'G2', 'G3']","[2, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
109.0,<music21.chord.Chord G4 B4 B3>,"[0, 4]","[7, 11]","[5, 9]",71,59,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,10,major,"[9, 1]_1",0.811010022,"['G4', 'B4', 'B3']",109.0 to 109.5,"[7, 11]","['B3', 'B4', 'G4']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2]"
109.5,<music21.chord.Chord B4 B3>,[0],[11],[9],71,59,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,10,major,[1]_1,0.811010022,"['B4', 'B3']",109.0 to 109.5,"[7, 11]","['B3', 'B4', 'G4']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2]"
110.0,<music21.chord.Chord G5 G4 G3>,[0],[7],[5],79,55,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,10,major,[9]_9,0.811010022,"['G5', 'G4', 'G3']",110.0 to 110.5,[7],"['G3', 'G4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
110.5,<music21.chord.Chord G4 G3>,[0],[7],[5],67,55,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,10,major,[9]_9,0.824865605,"['G4', 'G3']",110.0 to 110.5,[7],"['G3', 'G4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
111.0,<music21.chord.Chord B-3 B-4>,[0],[10],[8],70,58,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,10,major,[0]_0,0.824865605,"['B-3', 'B-4']",111.0 to 111.5,[10],"['B-3', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
111.5,<music21.chord.Chord B-4 B-3>,[0],[10],[8],70,58,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,10,major,[0]_0,0.8552930809999999,"['B-4', 'B-3']",111.0 to 111.5,[10],"['B-3', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
112.0,<music21.chord.Chord B-4 D3 B-3 F3>,"[0, 4, 7]","[10, 2, 5]","[8, 0, 3]",70,50,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,10,major,"[0, 4, 7]_4",0.8552930809999999,"['B-4', 'D3', 'B-3', 'F3']",112.0 to 112.5,"[2, 5, 10]","['B-3', 'B-4', 'D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
112.5,<music21.chord.Chord B-4 D3 B-3 F3>,"[0, 4, 7]","[10, 2, 5]","[8, 0, 3]",70,50,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,10,major,"[0, 4, 7]_4",0.8552930809999999,"['B-4', 'D3', 'B-3', 'F3']",112.0 to 112.5,"[2, 5, 10]","['B-3', 'B-4', 'D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
