offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence,octScalePitch,offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
134.5,<music21.chord.Chord A3>,[0],[9],[7],57,57,String Quartet Op2 No2 Hob3-8 (Arrangement) iv D major.mid,Haydn,2,major,[7]_7,0.8537629940000001,['A3'],134.5 to 134.5,[9],['A3'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
135.0,<music21.chord.Chord A3 D4 D3 F3>,"[0, 3, 7]","[2, 5, 9]","[0, 3, 7]",62,50,String Quartet Op2 No2 Hob3-8 (Arrangement) iv D major.mid,Haydn,2,major,"[0, 3, 7]_0",0.8537629940000001,"['A3', 'D4', 'D3', 'F3']",135.0 to 135.5,"[2, 5, 9]","['A3', 'D3', 'D4', 'F3']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
135.5,<music21.chord.Chord A3 D3 F3>,"[0, 3, 7]","[2, 5, 9]","[0, 3, 7]",57,50,String Quartet Op2 No2 Hob3-8 (Arrangement) iv D major.mid,Haydn,2,minor,"[0, 3, 7]_0",0.8491637409999999,"['A3', 'D3', 'F3']",135.0 to 135.5,"[2, 5, 9]","['A3', 'D3', 'D4', 'F3']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
136.0,<music21.chord.Chord E3>,[0],[4],[2],52,52,String Quartet Op2 No2 Hob3-8 (Arrangement) iv D major.mid,Haydn,2,minor,[2]_2,0.8491637409999999,['E3'],136.0 to 136.5,"[2, 4]","['D3', 'E3']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
136.5,<music21.chord.Chord D3>,[0],[2],[0],50,50,String Quartet Op2 No2 Hob3-8 (Arrangement) iv D major.mid,Haydn,2,minor,[0]_0,0.8491637409999999,['D3'],136.0 to 136.5,"[2, 4]","['D3', 'E3']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
137.0,<music21.chord.Chord F3 D3>,"[0, 3]","[2, 5]","[0, 3]",53,50,String Quartet Op2 No2 Hob3-8 (Arrangement) iv D major.mid,Haydn,2,minor,"[0, 3]_0",0.8491637409999999,"['F3', 'D3']",137.0 to 137.5,"[2, 5]","['D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
137.5,<music21.chord.Chord D3>,[0],[2],[0],50,50,String Quartet Op2 No2 Hob3-8 (Arrangement) iv D major.mid,Haydn,2,minor,[0]_0,0.8491637409999999,['D3'],137.0 to 137.5,"[2, 5]","['D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
138.0,<music21.chord.Chord G3 E3>,"[0, 3]","[4, 7]","[2, 5]",55,52,String Quartet Op2 No2 Hob3-8 (Arrangement) iv D major.mid,Haydn,2,minor,"[2, 5]_2",0.8491637409999999,"['G3', 'E3']",138.0 to 138.5,"[2, 4, 7]","['D3', 'E3', 'G3']","[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
138.5,<music21.chord.Chord D3>,[0],[2],[0],50,50,String Quartet Op2 No2 Hob3-8 (Arrangement) iv D major.mid,Haydn,2,minor,[0]_0,0.8491637409999999,['D3'],138.0 to 138.5,"[2, 4, 7]","['D3', 'E3', 'G3']","[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
139.0,<music21.chord.Chord A3 F3>,"[0, 4]","[5, 9]","[3, 7]",57,53,String Quartet Op2 No2 Hob3-8 (Arrangement) iv D major.mid,Haydn,2,minor,"[3, 7]_3",0.8491637409999999,"['A3', 'F3']",139.0 to 139.5,"[2, 5, 9]","['A3', 'D3', 'F3']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
