offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
0,<music21.chord.Chord B-4 D4 B-3 B-2>,"[0, 4]","[10, 2]","[0, 4]",70,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
0.625,<music21.chord.Chord B-4 D4>,"[0, 4]","[10, 2]","[0, 4]",70,62,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
1,<music21.chord.Chord B-4 D4 B-3 B-2>,"[0, 4]","[10, 2]","[0, 4]",70,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
1.625,<music21.chord.Chord B-4 D4>,"[0, 4]","[10, 2]","[0, 4]",70,62,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
2,<music21.chord.Chord B-5 G4 B-3 B-2>,"[0, 3]","[7, 10]","[9, 0]",82,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
2.625,<music21.chord.Chord B-5 G4>,"[0, 3]","[7, 10]","[9, 0]",82,67,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
3,<music21.chord.Chord B-5 G4 B-3 B-2>,"[0, 3]","[7, 10]","[9, 0]",82,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
3.5,<music21.chord.Chord A5 F4 B-3 B-2>,"[0, 4, 5]","[5, 9, 10]","[7, 11, 0]",81,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
3.625,<music21.chord.Chord A5 F4>,"[0, 4]","[5, 9]","[7, 11]",81,65,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
4,<music21.chord.Chord A5 F4 B-3 B-2>,"[0, 4, 5]","[5, 9, 10]","[7, 11, 0]",81,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
4.5,<music21.chord.Chord G5 E-4 B-3 B-2>,"[0, 4, 7]","[3, 7, 10]","[5, 9, 0]",79,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
