offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
0,<music21.chord.Chord B-4>,[0],[10],[7],70,70,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[7]_7,0.890681627
1,<music21.chord.Chord E-5 G4>,"[0, 4]","[3, 7]","[0, 4]",75,67,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4]_4",0.890681627
2,<music21.chord.Chord G5 E-4>,"[0, 4]","[3, 7]","[0, 4]",79,63,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4]_0",0.890681627
2.25,<music21.chord.Chord E-4>,[0],[3],[0],63,63,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[0]_0,0.890681627
3,<music21.chord.Chord G5 F4>,"[0, 2]","[5, 7]","[2, 4]",79,65,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[2, 4]_2",0.890681627
4,<music21.chord.Chord G#5 F4>,"[0, 3]","[5, 8]","[2, 5]",80,65,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[2, 5]_2",0.890681627
4.75,<music21.chord.Chord G5>,[0],[7],[4],79,79,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[4]_4,0.890681627
5,<music21.chord.Chord F5 G#4>,"[0, 3]","[5, 8]","[2, 5]",77,68,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[2, 5]_5",0.890681627
5.75,<music21.chord.Chord E-5 G#4>,"[0, 5]","[3, 8]","[0, 5]",75,68,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 5]_5",0.890681627
5.875,<music21.chord.Chord E-5>,[0],[3],[0],75,75,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[0]_0,0.890681627
6,<music21.chord.Chord D5 B-4>,"[0, 4]","[10, 2]","[7, 11]",74,70,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[7, 11]_7",0.890681627
7,<music21.chord.Chord F5 B-4>,"[0, 5]","[5, 10]","[2, 7]",77,70,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[2, 7]_7",0.890681627
7.75,<music21.chord.Chord F5>,[0],[5],[2],77,77,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[2]_2,0.890681627
8,<music21.chord.Chord B-5 D4>,"[0, 4]","[10, 2]","[7, 11]",82,62,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[7, 11]_11",0.890681627
8.25,<music21.chord.Chord D4>,[0],[2],[11],62,62,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[11]_11,0.889564616
9,<music21.chord.Chord G#5 E-4>,"[0, 5]","[3, 8]","[0, 5]",80,63,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 5]_0",0.889564616
10,<music21.chord.Chord G5 E-4>,"[0, 4]","[3, 7]","[0, 4]",79,63,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4]_0",0.889564616
10.75,<music21.chord.Chord F5>,[0],[5],[2],77,77,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[2]_2,0.889564616
11,<music21.chord.Chord E-5 G4>,"[0, 4]","[3, 7]","[0, 4]",75,67,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4]_4",0.889564616
11.75,<music21.chord.Chord D5 G4>,"[0, 5]","[2, 7]","[11, 4]",74,67,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[11, 4]_4",0.905991688
11.875,<music21.chord.Chord D5>,[0],[2],[11],74,74,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[11]_11,0.905991688
12,<music21.chord.Chord C5 G#4>,"[0, 4]","[8, 0]","[5, 9]",72,68,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[5, 9]_5",0.905991688
12.875,<music21.chord.Chord C5>,[0],[0],[9],72,72,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[9]_9,0.905991688
13,<music21.chord.Chord C6 G4>,"[0, 5]","[7, 0]","[4, 9]",84,67,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[4, 9]_4",0.905991688
14,<music21.chord.Chord C6 F4>,"[0, 5]","[0, 5]","[9, 2]",84,65,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[9, 2]_2",0.905991688
14.25,<music21.chord.Chord F4>,[0],[5],[2],65,65,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[2]_2,0.905991688
15,<music21.chord.Chord E-5 B-4>,"[0, 5]","[10, 3]","[7, 0]",75,70,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[7, 0]_7",0.905991688
15.875,<music21.chord.Chord E-5>,[0],[3],[0],75,75,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[0]_0,0.905991688
16,<music21.chord.Chord D5 G#4>,"[0, 6]","[2, 8]","[11, 5]",74,68,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[5, 11]_5",0.905991688
16.875,<music21.chord.Chord D5>,[0],[2],[11],74,74,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[11]_11,0.942247114
17,<music21.chord.Chord F5 G4>,"[0, 2]","[5, 7]","[2, 4]",77,67,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[2, 4]_4",0.942247114
17.125,<music21.chord.Chord E-5 G4>,"[0, 4]","[3, 7]","[0, 4]",75,67,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4]_4",0.942247114
17.33333333,<music21.chord.Chord D5 E-5 G4>,"[0, 1, 5]","[2, 3, 7]","[11, 0, 4]",75,67,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[11, 0, 4]_4",0.942247114
17.375,<music21.chord.Chord D5 G4>,"[0, 5]","[2, 7]","[11, 4]",74,67,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[11, 4]_4",0.942247114
17.66666667,<music21.chord.Chord C5 G4>,"[0, 5]","[7, 0]","[4, 9]",72,67,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[4, 9]_4",0.942247114
17.875,<music21.chord.Chord C5>,[0],[0],[9],72,72,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[9]_9,0.942247114
18,<music21.chord.Chord F4 B-4 D3>,"[0, 4, 7]","[10, 2, 5]","[7, 11, 2]",70,50,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[7, 11, 2]_11",0.942247114
19,<music21.chord.Chord G#5 F4 B-4 D3>,"[0, 3, 6, 8]","[2, 5, 8, 10]","[11, 2, 5, 7]",80,50,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[11, 2, 5, 7]_11",0.969360601
19.33333333,<music21.chord.Chord F5 F4 B-4 D3>,"[0, 4, 7]","[10, 2, 5]","[7, 11, 2]",77,50,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[7, 11, 2]_11",0.969402663
19.66666667,<music21.chord.Chord G#5 F4 B-4 D3>,"[0, 3, 6, 8]","[2, 5, 8, 10]","[11, 2, 5, 7]",80,50,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[11, 2, 5, 7]_11",0.969402663
19.75,<music21.chord.Chord G#5 B-4>,"[0, 2]","[8, 10]","[5, 7]",80,70,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[5, 7]_7",0.969402663
20,<music21.chord.Chord G5 G4 B-4 E-3>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",79,51,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4, 7]_0",0.969402663
20.75,<music21.chord.Chord G5 G4 E-3>,"[0, 4]","[3, 7]","[0, 4]",79,51,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4]_0",0.969402663
21,<music21.chord.Chord F4 B-4 D3>,"[0, 4, 7]","[10, 2, 5]","[7, 11, 2]",70,50,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[7, 11, 2]_11",0.969402663
22,<music21.chord.Chord G#5 F4 B-4 D3>,"[0, 3, 6, 8]","[2, 5, 8, 10]","[11, 2, 5, 7]",80,50,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[11, 2, 5, 7]_11",0.969402663
22.33333333,<music21.chord.Chord F5 F4 B-4 D3>,"[0, 4, 7]","[10, 2, 5]","[7, 11, 2]",77,50,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[7, 11, 2]_11",0.969402663
22.66666667,<music21.chord.Chord G#5 F4 B-4 D3>,"[0, 3, 6, 8]","[2, 5, 8, 10]","[11, 2, 5, 7]",80,50,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[11, 2, 5, 7]_11",0.969402663
22.75,<music21.chord.Chord G#5 B-4>,"[0, 2]","[8, 10]","[5, 7]",80,70,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[5, 7]_7",0.969402663
23,<music21.chord.Chord G5 G4 B-4 E-3>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",79,51,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4, 7]_0",0.969402663
23.75,<music21.chord.Chord G5 G4 E-3>,"[0, 4]","[3, 7]","[0, 4]",79,51,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4]_0",0.969402663
24,<music21.chord.Chord B-5 E-4 G4 G3>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",82,55,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4, 7]_4",0.969402663
25,<music21.chord.Chord G#5 C5 G#4 G#3>,"[0, 4]","[8, 0]","[5, 9]",80,56,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[5, 9]_5",0.969402663
25.75,<music21.chord.Chord G5 B-4 G#4 G#3>,"[0, 1, 3]","[7, 8, 10]","[4, 5, 7]",79,56,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[4, 5, 7]_5",0.969402663
25.875,<music21.chord.Chord G5 B-4>,"[0, 3]","[7, 10]","[4, 7]",79,70,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[4, 7]_7",0.969402663
26,<music21.chord.Chord F5 G#4 G#3>,"[0, 3]","[5, 8]","[2, 5]",77,56,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[2, 5]_5",0.969402663
26.75,<music21.chord.Chord E-5 G4 G#4 G#3>,"[0, 4, 5]","[3, 7, 8]","[0, 4, 5]",75,56,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4, 5]_5",0.969402663
26.875,<music21.chord.Chord E-5 G4>,"[0, 4]","[3, 7]","[0, 4]",75,67,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4]_4",0.969402663
27,<music21.chord.Chord E-5 G4 B-4 B-3>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",75,58,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4, 7]_7",0.969402663
27.875,<music21.chord.Chord E-5 G4>,"[0, 4]","[3, 7]","[0, 4]",75,67,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4]_4",0.969402663
28,<music21.chord.Chord D5 F4 F3>,"[0, 3]","[2, 5]","[11, 2]",74,53,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[11, 2]_2",0.969402663
29,<music21.chord.Chord B-3 B-2>,[0],[10],[7],58,46,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[7]_7,0.964135231
30,<music21.chord.Chord B-4>,[0],[10],[7],70,70,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[7]_7,0.958670989
31,<music21.chord.Chord E-5 G4>,"[0, 4]","[3, 7]","[0, 4]",75,67,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4]_4",0.93565863
32,<music21.chord.Chord G5 E-4>,"[0, 4]","[3, 7]","[0, 4]",79,63,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4]_0",0.93565863
32.25,<music21.chord.Chord E-4>,[0],[3],[0],63,63,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[0]_0,0.922599486
33,<music21.chord.Chord G5 F4>,"[0, 2]","[5, 7]","[2, 4]",79,65,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[2, 4]_2",0.922599486
34,<music21.chord.Chord G#5 F4>,"[0, 3]","[5, 8]","[2, 5]",80,65,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[2, 5]_2",0.911500673
34.75,<music21.chord.Chord G5>,[0],[7],[4],79,79,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[4]_4,0.911500673
35,<music21.chord.Chord F5 G#4>,"[0, 3]","[5, 8]","[2, 5]",77,68,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[2, 5]_5",0.911500673
35.75,<music21.chord.Chord E-5 G#4>,"[0, 5]","[3, 8]","[0, 5]",75,68,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 5]_5",0.911500673
35.875,<music21.chord.Chord E-5>,[0],[3],[0],75,75,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[0]_0,0.911500673
36,<music21.chord.Chord D5 B-4>,"[0, 4]","[10, 2]","[7, 11]",74,70,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[7, 11]_7",0.911500673
37,<music21.chord.Chord F5 B-4>,"[0, 5]","[5, 10]","[2, 7]",77,70,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[2, 7]_7",0.911500673
37.75,<music21.chord.Chord F5>,[0],[5],[2],77,77,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[2]_2,0.890681627
38,<music21.chord.Chord B-5 D4>,"[0, 4]","[10, 2]","[7, 11]",82,62,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[7, 11]_11",0.890681627
38.25,<music21.chord.Chord D4>,[0],[2],[11],62,62,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[11]_11,0.889564616
39,<music21.chord.Chord G#5 E-4>,"[0, 5]","[3, 8]","[0, 5]",80,63,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 5]_0",0.889564616
40,<music21.chord.Chord G5 E-4>,"[0, 4]","[3, 7]","[0, 4]",79,63,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4]_0",0.889564616
40.75,<music21.chord.Chord F5>,[0],[5],[2],77,77,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,[2]_2,0.889564616
41,<music21.chord.Chord E-5 G4>,"[0, 4]","[3, 7]","[0, 4]",75,67,String Quartet Op1 No2 ii Eb major.mid,Haydn,3,major,"[0, 4]_4",0.889564616
