offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
156,<music21.chord.Chord G5 E-4 C5 C4>,"[0, 3, 7]","[0, 3, 7]","[9, 0, 4]",79,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 3, 7]_0",0.784067026
156.875,<music21.chord.Chord G5>,[0],[7],[4],79,79,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,[7]_7,0.784067026
157,<music21.chord.Chord G5 E-4 C5 C4>,"[0, 3, 7]","[0, 3, 7]","[9, 0, 4]",79,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 3, 7]_0",0.784067026
157.75,<music21.chord.Chord E-4 C5 C4>,"[0, 3]","[0, 3]","[9, 0]",72,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 3]_0",0.784067026
158,<music21.chord.Chord G#5 E-4 C5 C4>,"[0, 4, 7]","[8, 0, 3]","[5, 9, 0]",80,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[8, 0, 3]_0",0.784067026
158.5,<music21.chord.Chord G5 E-4 C5 C4>,"[0, 3, 7]","[0, 3, 7]","[9, 0, 4]",79,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 3, 7]_0",0.784067026
158.875,<music21.chord.Chord G5>,[0],[7],[4],79,79,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,[7]_7,0.784067026
159,<music21.chord.Chord G5 D4 C5 C4>,"[0, 2, 7]","[0, 2, 7]","[9, 11, 4]",79,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 2, 7]_0",0.784067026
159.5,<music21.chord.Chord F#5 D4 C5 C4>,"[0, 2, 6]","[0, 2, 6]","[9, 11, 3]",78,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 2, 6]_0",0.784067026
159.875,<music21.chord.Chord F#5>,[0],[6],[3],78,78,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,[6]_6,0.784067026
160,<music21.chord.Chord F#5 D4 C5 C4>,"[0, 2, 6]","[0, 2, 6]","[9, 11, 3]",78,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 2, 6]_0",0.784067026
160.875,<music21.chord.Chord F#5>,[0],[6],[3],78,78,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,[6]_6,0.784067026
161,<music21.chord.Chord F#5 D4 C5 C4>,"[0, 2, 6]","[0, 2, 6]","[9, 11, 3]",78,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 2, 6]_0",0.784067026
161.75,<music21.chord.Chord D4 C5 C4>,"[0, 2]","[0, 2]","[9, 11]",72,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 2]_0",0.784067026
162,<music21.chord.Chord F5 D4 B4 B3>,"[0, 3, 6]","[11, 2, 5]","[8, 11, 2]",77,59,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[11, 2, 5]_11",0.784067026
163,<music21.chord.Chord D6 D4 B4 B3>,"[0, 3]","[11, 2]","[8, 11]",86,59,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[11, 2]_11",0.784067026
163.5,<music21.chord.Chord B5 D4 B4 B3>,"[0, 3]","[11, 2]","[8, 11]",83,59,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[11, 2]_11",0.784067026
163.875,<music21.chord.Chord B5>,[0],[11],[8],83,83,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,[11]_11,0.784067026
164,<music21.chord.Chord G5 D4 B4 B3>,"[0, 4, 7]","[7, 11, 2]","[4, 8, 11]",79,59,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[7, 11, 2]_11",0.784067026
164.5,<music21.chord.Chord F5 D4 B4 B3>,"[0, 3, 6]","[11, 2, 5]","[8, 11, 2]",77,59,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[11, 2, 5]_11",0.683416268
164.875,<music21.chord.Chord F5>,[0],[5],[2],77,77,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,[5]_5,0.683416268
165,<music21.chord.Chord F5 C5 C4>,"[0, 5]","[0, 5]","[9, 2]",77,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 5]_0",0.683416268
165.5,<music21.chord.Chord E-5 C5 C4>,"[0, 3]","[0, 3]","[9, 0]",75,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 3]_0",0.683416268
165.875,<music21.chord.Chord E-5>,[0],[3],[0],75,75,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,[3]_3,0.683416268
166,<music21.chord.Chord E-5 C4 C3>,"[0, 3]","[0, 3]","[9, 0]",75,48,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 3]_0",0.683416268
168,<music21.chord.Chord D5 F4>,"[0, 3]","[2, 5]","[11, 2]",74,65,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[2, 5]_5",0.583776707
169,<music21.chord.Chord D5 F4>,"[0, 3]","[2, 5]","[11, 2]",74,65,String Quartet Op1 No2 iv Eb major.mid,Haydn,10,major,"[4, 7]_7",0.523538795
170,<music21.chord.Chord D5 F4>,"[0, 3]","[2, 5]","[11, 2]",74,65,String Quartet Op1 No2 iv Eb major.mid,Haydn,10,major,"[4, 7]_7",0.523538795
171,<music21.chord.Chord G#5 B4 D4 F3>,"[0, 3, 6, 9]","[2, 5, 8, 11]","[11, 2, 5, 8]",80,53,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[2, 5, 8, 11]_5",0.542491216
172.5,<music21.chord.Chord B4 D4 F3>,"[0, 3, 6]","[11, 2, 5]","[8, 11, 2]",71,53,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[11, 2, 5]_5",0.773293385
173,<music21.chord.Chord C5 G4 E-4 E-3>,"[0, 3, 7]","[0, 3, 7]","[9, 0, 4]",72,51,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 3, 7]_3",0.773293385
174,<music21.chord.Chord D5 F4>,"[0, 3]","[2, 5]","[11, 2]",74,65,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[2, 5]_5",0.773293385
175,<music21.chord.Chord D5 F4>,"[0, 3]","[2, 5]","[11, 2]",74,65,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[2, 5]_5",0.78082627
176,<music21.chord.Chord D5 F4>,"[0, 3]","[2, 5]","[11, 2]",74,65,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[2, 5]_5",0.910697084
177,<music21.chord.Chord G#5 B4 D4 F3>,"[0, 3, 6, 9]","[2, 5, 8, 11]","[11, 2, 5, 8]",80,53,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[2, 5, 8, 11]_5",0.954067307
178.5,<music21.chord.Chord B4 D4 F3>,"[0, 3, 6]","[11, 2, 5]","[8, 11, 2]",71,53,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[11, 2, 5]_5",0.954067307
179,<music21.chord.Chord C5 G4 E-4 E-3>,"[0, 3, 7]","[0, 3, 7]","[9, 0, 4]",72,51,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 3, 7]_3",0.954067307
180,<music21.chord.Chord D5>,[0],[2],[11],74,74,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,[2]_2,0.954067307
180.75,<music21.chord.Chord E-5>,[0],[3],[0],75,75,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,[3]_3,0.954067307
181,<music21.chord.Chord C5 E-4 G4 G3>,"[0, 3, 7]","[0, 3, 7]","[9, 0, 4]",72,55,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[0, 3, 7]_7",0.954067307
182,<music21.chord.Chord B4 D4 G3 G2>,"[0, 4, 7]","[7, 11, 2]","[4, 8, 11]",71,43,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[7, 11, 2]_7",0.954067307
183,<music21.chord.Chord C5 C4 C3>,[0],[0],[9],72,48,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,[0]_0,0.954067307
183.875,<music21.chord.Chord C5 C4>,[0],[0],[9],72,60,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,[0]_0,0.954067307
184,<music21.chord.Chord C5 C4 G3 G2>,"[0, 5]","[7, 0]","[4, 9]",72,43,String Quartet Op1 No2 iv Eb major.mid,Haydn,0,minor,"[7, 0]_7",0.954067307
