offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
99,<music21.chord.Chord D4 D5>,[0],[2],[0],74,62,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,[0]_0,0.825072853
99.5,<music21.chord.Chord D5 D4>,[0],[2],[0],74,62,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,[0]_0,0.825072853
100,<music21.chord.Chord D5 F3 D4 A3>,"[0, 3, 7]","[2, 5, 9]","[0, 3, 7]",74,53,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,"[0, 3, 7]_3",0.825072853
100.5,<music21.chord.Chord D5 F3 D4 A3>,"[0, 3, 7]","[2, 5, 9]","[0, 3, 7]",74,53,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,"[0, 3, 7]_3",0.825072853
101,<music21.chord.Chord F5 D5 D3 D4 A3>,"[0, 3, 7]","[2, 5, 9]","[0, 3, 7]",77,50,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,"[0, 3, 7]_0",0.825072853
101.5,<music21.chord.Chord D5 D3 D4 A3>,"[0, 5]","[9, 2]","[7, 0]",74,50,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,"[7, 0]_0",0.825072853
102,<music21.chord.Chord E5 D5 A2 D4 A3>,"[0, 2, 7]","[2, 4, 9]","[0, 2, 7]",76,45,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,"[0, 2, 7]_7",0.825072853
102.5,<music21.chord.Chord D5 A2 D4 A3>,"[0, 5]","[9, 2]","[7, 0]",74,45,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,"[7, 0]_7",0.825072853
103,<music21.chord.Chord A4 C#5 C#4>,"[0, 4]","[9, 1]","[7, 11]",73,61,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,"[7, 11]_11",0.825072853
103.5,<music21.chord.Chord C#5 C#4>,[0],[1],[11],73,61,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,[11]_11,0.795785015
104,<music21.chord.Chord A5 A4 A3>,[0],[9],[7],81,57,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,minor,[7]_7,0.795785015
